date,equity
2022-06-30,999.7131992817434
2022-07-01,995.9789701897114
2022-07-02,995.734575218416
2022-07-03,995.3725796270784
2022-07-04,995.0638921536784
2022-07-05,991.9540503135656
2022-07-06,991.7520505918033
2022-07-07,989.0121605853038
2022-07-08,988.6166564640256
2022-07-09,990.8485310962976
2022-07-10,988.191990281535
2022-07-11,987.9422866371517
2022-07-12,987.6617800269017
2022-07-13,989.9175643235724
2022-07-14,989.6861425865171
2022-07-15,986.5093853488665
2022-07-16,988.7211921968787
2022-07-17,985.8215688567507
2022-07-18,983.0244335138871
2022-07-19,986.3007169327751
2022-07-20,982.6873909905437
2022-07-21,985.7620658611824
2022-07-22,988.2838133041483
2022-07-23,990.7091884611106
2022-07-24,990.4249049362086
2022-07-25,992.715130087091
2022-07-26,995.3499757396818
2022-07-27,992.5399175704275
2022-07-28,987.8252020805601
2022-07-29,984.4666428583528
2022-07-30,981.3794881349988
2022-07-31,983.4217465676688
2022-08-01,985.593630729471
2022-08-02,987.895847258813
2022-08-03,984.9015673381072
2022-08-04,987.0594586495931
2022-08-05,984.3139601149538
2022-08-06,981.9130154697175
2022-08-07,983.2126198357862
2022-08-08,982.7714557777562
2022-08-09,980.3756963125453
2022-08-10,977.9808051517881
2022-08-11,978.715884953813
2022-08-12,981.0250311207452
2022-08-13,978.5413287608428
2022-08-14,976.1325947212007
2022-08-15,973.7669305222718
2022-08-16,975.709470285829
2022-08-17,973.2299350427189
2022-08-18,970.895282611551
2022-08-19,972.6467739050112
2022-08-20,975.1657791305918
2022-08-21,972.554237658696
2022-08-22,970.0794438219631
2022-08-23,967.421893500232
2022-08-24,964.9509887947597
2022-08-25,963.6082545662405
2022-08-26,961.3247328936656
2022-08-27,958.119553809563
2022-08-28,957.8222425363331
2022-08-29,955.3814914173213
2022-08-30,957.2238899052808
2022-08-31,956.9883322410385
2022-09-01,959.0755921092996
2022-09-02,956.4715562993541
2022-09-03,954.0666451784161
2022-09-04,952.0751417393332
2022-09-05,949.7638136894072
2022-09-06,949.5104113086537
2022-09-07,946.5755699335865
2022-09-08,946.248745730586
2022-09-09,948.0261172858076
2022-09-10,945.3801491623583
2022-09-11,947.3122989858697
2022-09-12,947.2211491523125
2022-09-13,944.7303570536851
2022-09-14,941.8663342261626
2022-09-15,941.584102526305
2022-09-16,943.639813354615
2022-09-17,941.0938307969112
2022-09-18,940.6680398158613
2022-09-19,940.5450277021572
2022-09-20,942.9886443368072
2022-09-21,945.2597852931875
2022-09-22,948.7341576579689
2022-09-23,945.9900318931707
2022-09-24,943.3898634643928
2022-09-25,944.8507751796783
2022-09-26,944.535122463989
2022-09-27,946.4842061909557
2022-09-28,943.4786921187825
2022-09-29,943.2214483362093
2022-09-30,940.2832867912133
2022-10-01,937.4167032907524
2022-10-02,936.9171746155672
2022-10-03,936.5771997571701
2022-10-04,938.3137344611937
2022-10-05,940.136718935868
2022-10-06,937.8091906338773
2022-10-07,939.4933734046341
2022-10-08,937.2029863991964
2022-10-09,936.8598497737032
2022-10-10,934.9313862237461
2022-10-11,936.570681780618
2022-10-12,936.2076871488258
2022-10-13,934.2536781912899
2022-10-14,934.1866965924222
2022-10-15,931.832400301052
2022-10-16,932.3692252700637
2022-10-17,933.6714291164524
2022-10-18,933.2891062096792
2022-10-19,931.0886663885894
2022-10-20,931.4614518899372
2022-10-21,929.3565492831427
2022-10-22,930.5471410917648
2022-10-23,929.5411768373576
2022-10-24,927.4632495013334
2022-10-25,928.9178409629048
2022-10-26,926.347857511728
2022-10-27,926.092007753509
2022-10-28,925.8766085454045
2022-10-29,927.5408504181983
2022-10-30,928.9003876681046
2022-10-31,930.1918695682166
2022-11-01,928.2283733630961
2022-11-02,925.8223849479558
2022-11-03,927.1203377386237
2022-11-04,925.1177460506248
2022-11-05,926.909472667777
2022-11-06,927.4406954860269
2022-11-07,927.017094367629
2022-11-08,928.961339298353
2022-11-09,925.1349475290793
2022-11-10,928.7546991130536
2022-11-11,925.5136366744307
2022-11-12,927.8925537680562
2022-11-13,927.5851481646271
2022-11-14,925.0721958482003
2022-11-15,927.7001875031879
2022-11-16,927.4850678749439
2022-11-17,927.6109438604205
2022-11-18,927.2585464471983
2022-11-19,927.7840745950961
2022-11-20,928.5502411668579
2022-11-21,926.3397748968382
2022-11-22,923.6576987696947
2022-11-23,925.5202688810989
2022-11-24,925.1971462833353
2022-11-25,926.3765666322633
2022-11-26,925.9863485772113
2022-11-27,924.153263565119
2022-11-28,923.803936474648
2022-11-29,925.3880412708465
2022-11-30,923.1871142520888
2022-12-01,921.1676825514928
2022-12-02,920.8051375441419
2022-12-03,922.0421431893631
2022-12-04,922.767145160655
2022-12-05,922.4409128445961
2022-12-06,923.682956135593
2022-12-07,924.6152902006706
2022-12-08,924.1398373708907
2022-12-09,922.2015690142769
2022-12-10,922.2015690142769
2022-12-11,922.2015690142769
2022-12-12,920.5926019792648
2022-12-13,920.1516638648171
2022-12-14,917.8952235438684
2022-12-15,914.7258820472887
2022-12-16,916.0092776951385
2022-12-17,914.1642188357577
2022-12-18,914.1642188357577
2022-12-19,914.9819056770757
2022-12-20,914.6314270565387
2022-12-21,915.9385039262971
2022-12-22,916.9348908091838
2022-12-23,915.1132541122143
2022-12-24,915.1132541122143
2022-12-25,915.1132541122143
2022-12-26,915.1132541122143
2022-12-27,916.0285795965386
2022-12-28,916.9810078906895
2022-12-29,917.4916113933991
2022-12-30,917.4916113933991
2022-12-31,917.4916113933991
2023-01-01,917.4916113933991
2023-01-02,917.4916113933991
2023-01-03,917.4916113933991
2023-01-04,917.4916113933991
2023-01-05,918.4302969562481
2023-01-06,916.771126136432
2023-01-07,916.771126136432
2023-01-08,916.771126136432
2023-01-09,916.3853601436439
2023-01-10,914.7611210440423
2023-01-11,913.9741761563829
2023-01-12,913.7259038326172
2023-01-13,915.6111409184861
2023-01-14,913.6215268054771
2023-01-15,911.6610425792986
2023-01-16,911.4592366461304
2023-01-17,911.2656615979209
2023-01-18,911.0887786661297
2023-01-19,909.4186395800922
2023-01-20,909.1333879408614
2023-01-21,910.9726268275427
2023-01-22,910.7887137160467
2023-01-23,908.716284050124
2023-01-24,906.5018341265395
2023-01-25,906.3066041397627
2023-01-26,904.8425363106167
2023-01-27,904.6523215452137
2023-01-28,902.7391237734976
2023-01-29,903.8049188399561
2023-01-30,905.2255833169426
2023-01-31,906.6092333113354
2023-02-01,904.744681269627
2023-02-02,904.4812242041052
2023-02-03,906.1223733875656
2023-02-04,904.2539696107594
2023-02-05,903.8092108956839
2023-02-06,903.5423312094485
2023-02-07,904.7501394324293
2023-02-08,904.5006170636776
2023-02-09,904.2039457793458
2023-02-10,905.7912660763953
2023-02-11,904.2281630020238
2023-02-12,902.7436840630915
2023-02-13,902.4254566240538
2023-02-14,900.7639668977112
2023-02-15,902.2571563345379
2023-02-16,899.9963973715328
2023-02-17,898.1724651582582
2023-02-18,896.1072559453848
2023-02-19,895.7943340578323
2023-02-20,895.5180191023229
2023-02-21,893.6969279922296
2023-02-22,895.3242048277283
2023-02-23,894.1502557968588
2023-02-24,895.6162351598587
2023-02-25,897.2114791346414
2023-02-26,895.6079324293138
2023-02-27,895.3497276172691
2023-02-28,896.8622202960896
2023-03-01,895.0534614220115
2023-03-02,894.7873165245004
2023-03-03,894.5932482305889
2023-03-04,895.3507480273827
2023-03-05,896.3806710077769
2023-03-06,895.985264230354
2023-03-07,896.7999562141596
2023-03-08,898.1827169228355
2023-03-09,896.6089805108124
2023-03-10,898.0938963299066
2023-03-11,897.9707438896577
2023-03-12,897.7395208931666
2023-03-13,899.4115823729679
2023-03-14,897.4837430943256
2023-03-15,899.6743614294044
2023-03-16,897.8389021491372
2023-03-17,895.7472258238486
2023-03-18,897.2307410106583
2023-03-19,898.9312821879885
2023-03-20,900.3532168345503
2023-03-21,902.1409925976639
2023-03-22,900.1954468303794
2023-03-23,900.0221049550738
2023-03-24,897.7239071787683
2023-03-25,895.8001174434294
2023-03-26,895.4749846091322
2023-03-27,893.6707875275517
2023-03-28,895.3310139074857
2023-03-29,896.7610024971402
2023-03-30,894.9864001380018
2023-03-31,896.5608415356307
2023-04-01,896.3356294746994
2023-04-02,897.337804347594
2023-04-03,897.0098251117472
2023-04-04,894.9694957177647
2023-04-05,894.7693527123812
2023-04-06,893.8260304649713
2023-04-07,893.0883402082713
2023-04-08,893.0883402082713
2023-04-09,893.0883402082713
2023-04-10,892.8681519745184
2023-04-11,892.6067110883769
2023-04-12,893.823183460717
2023-04-13,893.5026229345842
2023-04-14,893.2364694832365
2023-04-15,893.2364694832365
2023-04-16,893.2364694832365
2023-04-17,894.3352923987102
2023-04-18,892.7829203169397
2023-04-19,892.5693296288382
2023-04-20,894.6639677897019
2023-04-21,896.2454450301404
2023-04-22,894.4031700639342
2023-04-23,895.5768328383039
2023-04-24,895.2946758099459
2023-04-25,893.465117156991
2023-04-26,891.6391123703843
2023-04-27,891.5465808956012
2023-04-28,893.247621196176
2023-04-29,891.7503483880162
2023-04-30,892.4537884790972
2023-05-01,892.0949067361703
2023-05-02,890.2083787065025
2023-05-03,889.9802976322931
2023-05-04,887.2613835855872
2023-05-05,885.5245981590144
2023-05-06,886.987131896849
2023-05-07,885.2518226440571
2023-05-08,886.4719073852178
2023-05-09,884.7279754446604
2023-05-10,882.9640449282265
2023-05-11,882.7257719044043
2023-05-12,884.2482770017568
2023-05-13,885.5095681201155
2023-05-14,886.4440645026668
2023-05-15,887.4711883910649
2023-05-16,887.2379030598523
2023-05-17,886.9274407913857
2023-05-18,885.6608047376309
2023-05-19,887.0238071991353
2023-05-20,887.4551545167011
2023-05-21,886.0118977238237
2023-05-22,885.6805632797591
2023-05-23,886.6959548761521
2023-05-24,885.255824186929
2023-05-25,886.6670782014651
2023-05-26,886.3830532861033
2023-05-27,886.0866387007703
2023-05-28,886.9340236008435
2023-05-29,885.1128877885528
2023-05-30,886.1019584255805
2023-05-31,884.4881585816852
2023-06-01,885.511410347622
2023-06-02,886.6898280415082
2023-06-03,886.6898280415082
2023-06-04,886.6898280415082
2023-06-05,885.2494810637229
2023-06-06,886.7538269855066
2023-06-07,884.6892063882178
2023-06-08,884.4674102811143
2023-06-09,884.127026891272
2023-06-10,883.9942594037399
2023-06-11,884.8424870546207
2023-06-12,883.2073725978178
2023-06-13,882.9180401095304
2023-06-14,881.3449140730813
2023-06-15,882.3304422851949
2023-06-16,883.4901294096532
2023-06-17,884.8024031427715
2023-06-18,885.6559346955224
2023-06-19,885.3973793820088
2023-06-20,885.1750900902185
2023-06-21,883.0892412204868
2023-06-22,884.4952471409883
2023-06-23,885.9337352866012
2023-06-24,887.6706057587653
2023-06-25,886.0814332954664
2023-06-26,885.7531792020002
2023-06-27,885.5190661778311
2023-06-28,886.5205368528658
2023-06-29,883.9184705274758
