date,btc_ret,robot_ret,btc_cum_ret,robot_cum_ret,btc_equity,robot_equity
2022-01-01,0.0,0.0,0.0,0.0,1000.0,
2022-01-02,-0.00889541519798509,0.0,-0.00889541519798509,0.0,991.1045848020149,
2022-01-03,-0.017643612521150653,0.0,-0.026382080460167767,0.0,973.6179195398322,
2022-01-04,-0.013185042956512127,0.0,-0.03921927455253038,0.0,960.7807254474696,
2022-01-05,-0.052619464137740435,0.0,-0.0897750414794457,0.0,910.2249585205543,
2022-01-06,-0.007868878433796578,0.0,-0.09693749102545146,0.0,903.0625089745486,
2022-01-07,-0.03542594349444217,0.0,-0.128929332440333,0.0,871.070667559667,
2022-01-08,0.008639871241805208,0.0,-0.12140339403010414,0.0,878.5966059698959,
2022-01-09,-0.001471146816921065,0.0,-0.12269593863033446,0.0,877.3040613696655,
2022-01-10,-0.0011868232276143198,0.0,-0.12373714346804832,0.0,876.2628565319517,
2022-01-11,0.02150948948065312,0.0,-0.10488917677318721,0.0,895.1108232268128,
2022-01-12,0.027635157098200747,0.0,-0.0801526485530144,0.0,919.8473514469856,
2022-01-13,-0.030683179309728748,0.0,-0.10837648977504133,0.0,891.6235102249586,
2022-01-14,0.01635573344066632,0.0,-0.09379333331237072,0.0,906.2066666876293,
2022-01-15,-0.0036893361091834276,0.0,-0.09713663429016417,0.0,902.8633657098359,
2022-01-16,-0.00022869476121822885,0.0,-0.09734311441199783,0.0,902.6568855880022,
2022-01-17,-0.02053661044675137,0.0,-0.11588062723839643,0.0,884.1193727616036,
2022-01-18,0.0038229964951914663,0.0,-0.11250064197499798,0.0,887.499358025002,
2022-01-19,-0.016054058829059303,0.0,-0.1267486088794837,0.0,873.2513911205164,
2022-01-20,-0.023913837210669975,0.0,-0.14763140049073087,0.0,852.3685995092692,
2022-01-21,-0.10416955124098382,0.0,-0.23642225499351732,0.0,763.5777450064827,
2022-01-22,-0.03794681707945813,0.0,-0.2653976000092234,0.0,734.6023999907766,
2022-01-23,0.03385141935518843,0.0,-0.2405302661078078,0.0,759.4697338921922,
2022-01-24,0.01573253774978256,0.0,-0.2285818798495316,0.0,771.4181201504684,
2022-01-25,0.003648369565217413,0.0,-0.22576746145791737,0.0,774.2325385420826,
2022-01-26,-0.003975441771406851,0.0,-0.22884537783241998,0.0,771.15462216758,
2022-01-27,0.00933933139662102,0.0,-0.22164330925796083,0.0,778.3566907420392,
2022-01-28,0.0020166437747433097,0.0,-0.22007364108304606,0.0,779.926358916954,
2022-01-29,0.025375827691752173,0.0,-0.2002823641869138,0.0,799.7176358130862,
2022-01-30,-0.007339447617444872,0.0,-0.20615184988371082,0.0,793.8481501162892,
2022-01-31,0.015025874035945463,0.0,-0.19422358757639513,0.0,805.7764124236048,
2022-02-01,0.006281894657098608,0.0,-0.18916178503637515,0.0,810.8382149636249,
2022-02-02,-0.04623723937455848,0.0,-0.22665270567568796,0.0,773.3472943243121,
2022-02-03,0.010783629960183783,0.0,-0.21831321462298525,0.0,781.6867853770148,
2022-02-04,0.08922908265142304,0.0,-0.14856401984305445,0.0,851.4359801569456,
2022-02-05,0.025668928434259497,0.0,-0.1267085706020522,0.0,873.2914293979478,
2022-02-06,0.01683997522791736,0.0,-0.11200236456423818,0.0,887.9976354357618,
2022-02-07,0.03466933891389212,0.0,-0.0812160735865809,0.0,918.7839264134191,
2022-02-08,0.004370979778913986,0.0,-0.07720008762303665,0.0,922.7999123769633,
2022-02-09,0.007644207146632942,0.0,-0.0701460139379324,0.0,929.8539860620676,
2022-02-10,-0.019991622721271973,0.0,-0.0887353040131561,0.0,911.2646959868439,
2022-02-11,-0.025425746509938008,0.0,-0.11190488917677333,0.0,888.0951108232267,
2022-02-12,-0.003921304819902716,0.0,-0.11538738081537647,0.0,884.6126191846236,
2022-02-13,-0.003761622962345723,0.0,-0.11871495995648218,0.0,881.2850400435178,
2022-02-14,0.01151277332459899,0.0,-0.10856892505610105,0.0,891.4310749438989,
2022-02-15,0.0471358824450665,0.0,-0.06655053469966621,0.0,933.4494653003338,
2022-02-16,-0.015021468865653476,0.0,-0.08057231678033605,0.0,919.427683219664,
2022-02-17,-0.06828664385201333,0.0,-0.14335694753203898,0.0,856.6430524679611,
2022-02-18,-0.023100113542930956,0.0,-0.16314549930981181,0.0,836.8545006901882,
2022-02-19,0.0032814316059477378,0.0,-0.1603994185016674,0.0,839.6005814983326,
2022-02-20,-0.042057194788852614,0.0,-0.19571066370257673,0.0,804.2893362974232,
2022-02-21,-0.03601168679189215,0.0,-0.2246744793713783,0.0,775.3255206286217,
2022-02-22,0.033136504228581165,0.0,-0.19898290197854107,0.0,801.0170980214589,
2022-02-23,-0.025756306919292316,0.0,-0.21961414420278258,0.0,780.3858557972175,
2022-02-24,0.017043714643357966,0.0,-0.20631347036486214,0.0,793.6865296351378,
2022-02-25,0.035473280809670715,0.0,-0.17815880522426186,0.0,821.8411947757381,
2022-02-26,-0.0027062598519591585,0.0,-0.1803829210543696,0.0,819.6170789456304,
2022-02-27,-0.03650448985020205,0.0,-0.21030262439379266,0.0,789.6973756062073,
2022-02-28,0.14554576343172654,0.0,-0.09536551698115636,0.0,904.6344830188436,
2022-03-01,0.02871277951569917,0.0,-0.06939094652793776,0.0,930.6090534720622,
2022-03-02,-0.011451972221533935,0.0,-0.0800482555574078,0.0,919.9517444425921,
2022-03-03,-0.03272592211130265,0.0,-0.11015452469219311,0.0,889.8454753078069,
2022-03-04,-0.0722646909857595,0.0,-0.17445893299038806,0.0,825.541067009612,
2022-03-05,-0.00017266815465999397,0.0,-0.1746014776430247,0.0,825.3985223569753,
2022-03-06,-0.02473644511379014,0.0,-0.19501890288831147,0.0,804.9810971116885,
2022-03-07,-0.011387694623331002,0.0,-0.2041857817997733,0.0,795.8142182002267,
2022-03-08,0.019652932530463296,0.0,-0.18854569866270088,0.0,811.4543013372992,
2022-03-09,0.08337918723634008,0.0,-0.1208872985377647,0.0,879.1127014622353,
2022-03-10,-0.06033502235469457,0.0,-0.17392858303278458,0.0,826.0714169672154,
2022-03-11,-0.01761607015976774,0.0,-0.1884807150710578,0.0,811.5192849289422,
2022-03-12,0.0020561568465373714,0.0,-0.18681210413725402,0.0,813.187895862746,
2022-03-13,-0.027038662012858206,0.0,-0.2087996168064341,0.0,791.2003831935659,
2022-03-14,0.05060712118843691,0.0,-0.1687592431298196,0.0,831.2407568701803,
2022-03-15,-0.009653551488129852,0.0,-0.17678366857529793,0.0,823.216331424702,
2022-03-16,0.046721499325201865,0.0,-0.13832176730214352,0.0,861.6782326978565,
2022-03-17,-0.005052814931226335,0.0,-0.14267566794223197,0.0,857.3243320577681,
2022-03-18,0.02743892748073873,0.0,-0.11915160776742606,0.0,880.8483922325739,
2022-03-19,0.003995687798516334,0.0,-0.11563201259423961,0.0,884.3679874057603,
2022-03-20,-0.021977709406895696,0.0,-0.13506839523020464,0.0,864.9316047697954,
2022-03-21,-0.006761833208114187,0.0,-0.14091691847808452,0.0,859.0830815219155,
2022-03-22,0.03337562832463048,0.0,-0.11224448084923089,0.0,887.7555191507691,
2022-03-23,0.012233824008613947,0.0,-0.10138383606526469,0.0,898.6161639347354,
2022-03-24,0.025788527079702916,0.0,-0.07820984878737502,0.0,921.790151212625,
2022-03-25,0.012004984831739174,0.0,-0.06714377200402089,0.0,932.8562279959791,
2022-03-26,-0.0002719021691502954,0.0,-0.06739741763591833,0.0,932.6025823640816,
2022-03-27,0.052408224917508184,0.0,-0.01852137174073254,0.0,981.4786282592675,
2022-03-28,0.006430902504869662,0.0,-0.012209578371783936,0.0,987.7904216282161,
2022-03-29,0.006294313259864293,0.0,-0.005992116022962568,0.0,994.0078839770374,
2022-03-30,-0.007703744319200401,0.0,-0.01364969861239107,0.0,986.350301387609,
2022-03-31,-0.032881929390562115,0.0,-0.04608279957697814,0.0,953.9172004230219,
2022-04-01,0.016705489386015016,0.0,-0.0301471459101742,0.0,969.8528540898258,
2022-04-02,-0.010193186386606157,0.0,-0.04003303681949377,0.0,959.9669631805062,
2022-04-03,0.013053940857655766,0.0,-0.02750168485683202,0.0,972.4983151431679,
2022-04-04,0.0010820737879480014,0.0,-0.026449369921191956,0.0,973.550630078808,
2022-04-05,-0.02078264352124981,0.0,-0.046682325616007936,0.0,953.3176743839921,
2022-04-06,-0.0509637754137221,0.0,-0.09526699347124556,0.0,904.7330065287545,
2022-04-07,0.0059638968760209465,0.0,-0.08987125911997573,0.0,910.1287408800242,
2022-04-08,-0.019888477120765802,0.0,-0.10797233375991944,0.0,892.0276662400805,
2022-04-09,0.004091310723417063,0.0,-0.1043227714034467,0.0,895.6772285965533,
2022-04-10,-0.013745181697119135,0.0,-0.11663401765247838,0.0,883.3659823475216,
2022-04-11,-0.06252432345207926,0.0,-0.1718658780593385,0.0,828.1341219406615,
2022-04-12,0.014051172492001163,0.0,-0.1602296226654384,0.0,839.7703773345617,
2022-04-13,0.02395115412361748,0.0,-0.1401161529294499,0.0,859.8838470705501,
2022-04-14,-0.026920882882092156,0.0,-0.16326498526863897,0.0,836.735014731361,
2022-04-15,0.015372320303437936,0.0,-0.15040242661308667,0.0,849.5975733869134,
2022-04-16,-0.004157465549784689,0.0,-0.15393459925562347,0.0,846.0654007443766,
2022-04-17,-0.017638314214216688,0.0,-0.16885776663972996,0.0,831.1422333602701,
2022-04-18,0.028663954541212844,0.0,-0.1450339434454091,0.0,854.9660565545909,
2022-04-19,0.0168515358361776,0.0,-0.13062645230466396,0.0,869.373547695336,
2022-04-20,-0.0035010814290779013,0.0,-0.13367019988743167,0.0,866.3298001125684,
2022-04-21,-0.015028661164303792,0.0,-0.14668997690986252,0.0,853.3100230901375,
2022-04-22,-0.025361980612480517,0.0,-0.16833160917190992,0.0,831.6683908280901,
2022-04-23,-0.006530692490333778,0.0,-0.17376297968633891,0.0,826.2370203136611,
2022-04-24,0.00046428906688045224,0.0,-0.1733793668711554,0.0,826.6206331288446,
2022-04-25,0.019800473710103406,0.0,-0.15701188675665867,0.0,842.9881132433413,
2022-04-26,-0.05273013015303052,0.0,-0.2014627596854377,0.0,798.5372403145623,
2022-04-27,0.02927780709146144,0.0,-0.17808334040815998,0.0,821.91665959184,
2022-04-28,0.013351526435257277,0.0,-0.1671094984000412,0.0,832.8905015999588,
2022-04-29,-0.03569621846095772,0.0,-0.19684053969921,0.0,803.15946030079,
2022-04-30,-0.018262158677461504,0.0,-0.21150796520652737,0.0,788.4920347934726,
2022-05-01,0.02195961663720114,0.0,-0.19419298240097604,0.0,805.807017599024,
2022-05-02,-0.0033428285272043556,0.0,-0.1968866570868275,0.0,803.1133429131725,
2022-05-03,-0.015637398204217945,0.0,-0.2094452602330814,0.0,790.5547397669186,
2022-05-04,0.050438974462319264,0.0,-0.16957048990291235,0.0,830.4295100970877,
2022-05-05,-0.0777582285542634,0.0,-0.23414321754724665,0.0,765.8567824527534,
2022-05-06,-0.009139256651895189,0.0,-0.24114257924067706,0.0,758.857420759323,
2022-05-07,-0.020278557379947548,0.0,-0.25653111299074394,0.0,743.468887009256,
2022-05-08,-0.040452029650348,0.0,-0.28660593845215354,0.0,713.3940615478465,
2022-05-09,-0.11681358721203572,0.0,-0.3699400578773213,0.0,630.0599421226786,
