open_time,year,hour,direction,p_up,p_up_bucket,atr_pct,atr_bucket,win,ret
2022-06-30 15:00:00+00:00,2022,15,short,0.43381035,Q2,0.013384900828390042,high_atr,True,0.02556980165678
2022-06-30 16:00:00+00:00,2022,16,short,0.42919344,Q2,0.013855540909413445,high_atr,True,0.0265110818188268
2022-07-01 00:00:00+00:00,2022,0,short,0.4322529,Q2,0.019660292785006313,high_atr,True,0.0381205855700126
2022-07-01 01:00:00+00:00,2022,1,short,0.46746,Q3,0.01975776960466965,high_atr,True,0.0383155392093393
2022-07-02 00:00:00+00:00,2022,0,short,0.43895632,Q3,0.012779322947408628,high_atr,True,0.0243586458948172
2022-07-02 01:00:00+00:00,2022,1,short,0.45674953,Q3,0.012324151725091399,high_atr,True,0.0234483034501827
2022-07-03 00:00:00+00:00,2022,0,short,0.47070876,Q4,0.007214444632571997,mid_high,True,0.0132288892651439
2022-07-03 01:00:00+00:00,2022,1,short,0.47070876,Q4,0.007124387061410031,mid_high,True,0.01304877412282
2022-07-04 00:00:00+00:00,2022,0,short,0.47070876,Q4,0.008591831435248724,mid_high,True,0.0159836628704974
2022-07-04 01:00:00+00:00,2022,1,short,0.47070876,Q4,0.00880357867722169,mid_high,True,0.0164071573544433
2022-07-05 00:00:00+00:00,2022,0,short,0.49442697,Q5_high,0.013357049296825872,high_atr,True,0.0255140985936517
2022-07-05 02:00:00+00:00,2022,2,short,0.4801261,Q5_high,0.01234146818313185,high_atr,True,0.0234829363662637
2022-07-06 00:00:00+00:00,2022,0,short,0.46746,Q3,0.01486766896505028,high_atr,True,0.0285353379301005
2022-07-06 09:00:00+00:00,2022,9,short,0.46746,Q3,0.014077855703128708,high_atr,True,0.0269557114062574
2022-07-07 02:00:00+00:00,2022,2,short,0.47070876,Q4,0.009378477300879678,high_atr,True,0.0175569546017593
2022-07-07 06:00:00+00:00,2022,6,short,0.47070876,Q4,0.008168996667479361,mid_high,False,-0.0077351973339834
2022-07-08 00:00:00+00:00,2022,0,short,0.49442697,Q5_high,0.012288223980017183,high_atr,False,-0.0110305791840137
2022-07-08 01:00:00+00:00,2022,1,short,0.48379886,Q5_high,0.014853709070489426,high_atr,True,0.0285074181409788
2022-07-09 02:00:00+00:00,2022,2,short,0.4644644,Q3,0.014125913196365998,high_atr,True,0.0270518263927319
2022-07-09 03:00:00+00:00,2022,3,short,0.4644644,Q3,0.01371616086346783,high_atr,True,0.0262323217269356
2022-07-10 00:00:00+00:00,2022,0,short,0.452825,Q3,0.009404196937543418,high_atr,True,0.0176083938750868
2022-07-10 01:00:00+00:00,2022,1,short,0.452825,Q3,0.008325853756193637,mid_high,True,0.0154517075123872
2022-07-11 00:00:00+00:00,2022,0,short,0.40525505,Q1_low,0.010163175253229613,high_atr,True,0.0191263505064592
2022-07-11 02:00:00+00:00,2022,2,short,0.41677123,Q2,0.011079223838915424,high_atr,True,0.0209584476778308
2022-07-12 00:00:00+00:00,2022,0,short,0.41489246,Q2,0.011088774392165926,high_atr,True,0.0209775487843318
2022-07-12 01:00:00+00:00,2022,1,short,0.41489246,Q2,0.011016230663668147,high_atr,True,0.0208324613273362
2022-07-13 00:00:00+00:00,2022,0,short,0.40525505,Q1_low,0.010814049988081274,high_atr,False,-0.009851239990465
2022-07-13 01:00:00+00:00,2022,1,short,0.40525505,Q1_low,0.01025379560389758,high_atr,False,-0.009403036483118
2022-07-14 00:00:00+00:00,2022,0,short,0.46746,Q3,0.0194044023293448,high_atr,True,0.0376088046586896
2022-07-14 01:00:00+00:00,2022,1,short,0.46746,Q3,0.01975255735142056,high_atr,True,0.0383051147028411
2022-07-14 15:00:00+00:00,2022,15,short,0.46746,Q3,0.011108610908407753,high_atr,True,0.0210172218168155
2022-07-14 16:00:00+00:00,2022,16,short,0.46746,Q3,0.01194828581747096,high_atr,False,-0.0107586286539767
2022-07-15 00:00:00+00:00,2022,0,short,0.4597862,Q3,0.013558697367296278,high_atr,False,-0.012046957893837
2022-07-15 02:00:00+00:00,2022,2,short,0.4597862,Q3,0.014259278505478618,high_atr,False,-0.0126074228043828
2022-07-16 00:00:00+00:00,2022,0,short,0.46570167,Q3,0.010603733724626233,high_atr,True,0.0200074674492524
2022-07-16 01:00:00+00:00,2022,1,short,0.47070876,Q4,0.010354166293015318,high_atr,True,0.0195083325860306
2022-07-17 00:00:00+00:00,2022,0,short,0.4610217,Q3,0.01030470821168497,high_atr,True,0.0194094164233699
2022-07-17 01:00:00+00:00,2022,1,short,0.4597862,Q3,0.011036056724635883,high_atr,False,-0.0100288453797087
2022-07-18 00:00:00+00:00,2022,0,short,0.44217145,Q3,0.010142216133933759,high_atr,False,-0.009313772907147
2022-07-18 01:00:00+00:00,2022,1,short,0.47979954,Q5_high,0.010017222210110926,high_atr,False,-0.0092137777680887
2022-07-19 00:00:00+00:00,2022,0,short,0.4597542,Q3,0.019580431208202846,high_atr,True,0.0379608624164056
2022-07-19 01:00:00+00:00,2022,1,short,0.4597542,Q3,0.0197984622968639,high_atr,True,0.0383969245937278
2022-07-20 00:00:00+00:00,2022,0,short,0.47312072,Q5_high,0.018597986047711665,high_atr,False,-0.0160783888381693
2022-07-20 04:00:00+00:00,2022,4,short,0.4801261,Q5_high,0.017164056008992738,high_atr,False,-0.0149312448071941
2022-07-21 00:00:00+00:00,2022,0,short,0.46207651,Q3,0.017555773659210502,high_atr,True,0.033911547318421
2022-07-21 01:00:00+00:00,2022,1,short,0.46207651,Q3,0.017687710330033638,high_atr,True,0.0341754206600672
2022-07-22 00:00:00+00:00,2022,0,short,0.46746,Q3,0.012824488988761842,high_atr,True,0.0244489779775236
2022-07-22 01:00:00+00:00,2022,1,short,0.46746,Q3,0.012215778905100604,high_atr,True,0.0232315578102012
2022-07-23 00:00:00+00:00,2022,0,short,0.42135316,Q2,0.011864847270812037,high_atr,True,0.022529694541624002
2022-07-23 01:00:00+00:00,2022,1,short,0.42135316,Q2,0.011526433049905525,high_atr,True,0.021852866099811002
2022-07-24 00:00:00+00:00,2022,0,short,0.4322529,Q2,0.010000956999053763,high_atr,True,0.0188019139981075
2022-07-24 02:00:00+00:00,2022,2,short,0.42061746,Q2,0.009196421416041536,mid_high,True,0.017192842832083
2022-07-25 00:00:00+00:00,2022,0,short,0.44959486,Q3,0.010752953196981375,high_atr,True,0.0203059063939627
2022-07-25 01:00:00+00:00,2022,1,short,0.45425656,Q3,0.010500927309489696,high_atr,True,0.0198018546189793
2022-07-26 01:00:00+00:00,2022,1,short,0.42135316,Q2,0.013232461613585822,high_atr,True,0.0252649232271716
2022-07-26 02:00:00+00:00,2022,2,short,0.43381035,Q2,0.012929595810211277,high_atr,True,0.024659191620422502
2022-07-27 03:00:00+00:00,2022,3,short,0.4449715,Q3,0.008967439034231982,mid_high,False,-0.0083739512273855
2022-07-27 04:00:00+00:00,2022,4,short,0.4449715,Q3,0.008521382838348622,mid_high,False,-0.0080171062706788
2022-07-28 00:00:00+00:00,2022,0,short,0.4995067,Q5_high,0.013892869529006468,high_atr,False,-0.0123142956232051
2022-07-28 01:00:00+00:00,2022,1,short,0.4995067,Q5_high,0.013342868062402048,high_atr,False,-0.0118742944499216
2022-07-28 17:00:00+00:00,2022,17,short,0.4995067,Q5_high,0.013662791736287185,high_atr,True,0.0261255834725743
2022-07-28 18:00:00+00:00,2022,18,short,0.4995067,Q5_high,0.01420774113152913,high_atr,False,-0.0125661929052233
2022-07-29 00:00:00+00:00,2022,0,short,0.498339,Q5_high,0.015461576707477515,high_atr,True,0.029723153414955
2022-07-29 01:00:00+00:00,2022,1,short,0.4826325,Q5_high,0.015370997214150911,high_atr,True,0.0295419944283018
2022-07-30 00:00:00+00:00,2022,0,short,0.4597862,Q3,0.012975690181987649,high_atr,True,0.0247513803639752
2022-07-30 01:00:00+00:00,2022,1,short,0.4597862,Q3,0.01246686109353465,high_atr,True,0.0237337221870693
2022-07-31 02:00:00+00:00,2022,2,short,0.4721481,Q5_high,0.01042477535918507,high_atr,True,0.0196495507183701
2022-07-31 04:00:00+00:00,2022,4,short,0.45499706,Q3,0.0091771929582277,mid_high,True,0.0171543859164554
2022-08-01 00:00:00+00:00,2022,0,short,0.41677123,Q2,0.009798161300992352,high_atr,True,0.0183963226019847
2022-08-01 01:00:00+00:00,2022,1,short,0.41677123,Q2,0.009778791684823004,high_atr,True,0.018357583369646
2022-08-02 00:00:00+00:00,2022,0,short,0.4343614,Q2,0.01070003358879305,high_atr,True,0.0202000671775861
2022-08-02 01:00:00+00:00,2022,1,short,0.41677123,Q2,0.010689303301407228,high_atr,True,0.0201786066028144
2022-08-03 00:00:00+00:00,2022,0,short,0.44959486,Q3,0.01167924265662093,high_atr,False,-0.0105433941252967
2022-08-03 01:00:00+00:00,2022,1,short,0.44959486,Q3,0.01173603266681629,high_atr,False,-0.010588826133453
2022-08-04 00:00:00+00:00,2022,0,short,0.46570167,Q3,0.009638041384452862,high_atr,True,0.0180760827689057
2022-08-04 01:00:00+00:00,2022,1,short,0.4721481,Q5_high,0.0096971643514944,high_atr,True,0.018194328702988802
2022-08-05 00:00:00+00:00,2022,0,short,0.40525505,Q1_low,0.009237523044072214,mid_high,False,-0.0085900184352577
2022-08-05 01:00:00+00:00,2022,1,short,0.42784876,Q2,0.009624331639299431,high_atr,False,-0.0088994653114395
2022-08-06 02:00:00+00:00,2022,2,short,0.47070876,Q4,0.008278475227234195,mid_high,True,0.015356950454468301
2022-08-06 05:00:00+00:00,2022,5,short,0.47070876,Q4,0.0067428453143847785,mid_low,True,0.0122856906287695
2022-08-07 02:00:00+00:00,2022,2,short,0.452825,Q3,0.0049986233197820045,low_atr,True,0.008797246639564
2022-08-07 03:00:00+00:00,2022,3,short,0.452825,Q3,0.005006903608713029,low_atr,True,0.008813807217426
2022-08-08 00:00:00+00:00,2022,0,short,0.47070876,Q4,0.005669938726446425,mid_low,False,-0.0057359509811571
2022-08-08 01:00:00+00:00,2022,1,short,0.47070876,Q4,0.005703663084144647,mid_low,False,-0.0057629304673156995
