time,direction,p_up,ev_best,stake_unlev,stake_lev,fees,ret_realized,pnl,equity_before,equity_after,risk_capped
2022-06-30 15:00:00,long,0.5694195032119751,1.0152475202190547,53.815744888604165,107.63148977720833,0.12915778773265002,-0.010707920662712,-1.2816672410764944,1000.0,998.7183327589235,False
2022-06-30 16:00:00,short,0.41708192229270935,1.0928053846041814,52.82605927022638,105.65211854045276,0.12678254224854332,0.0277110818188268,2.800951958958331,998.7183327589235,1001.5192847178818,False
2022-07-01 00:00:00,short,0.1807318925857544,2.5018544360569854,44.4714469840308,88.9428939680616,0.10673147276167393,0.0393205855700126,3.39055520035405,1001.5192847178818,1004.9098399182358,False
2022-07-01 01:00:00,short,0.15134507417678833,2.6525972278810963,44.51179161945344,89.02358323890688,0.10682829988668827,0.0395155392093393,3.4109865941462174,1004.9098399182358,1008.320826512382,False
2022-07-02 00:00:00,short,0.11476586759090424,2.23081048766513,55.534357231026796,111.06871446205359,0.1332824573544643,0.0255586458948172,2.7054834855737253,1008.320826512382,1011.0263099979558,False
2022-07-02 01:00:00,short,0.06833919137716293,2.3656290518171463,56.702325930731,113.404651861462,0.13608558223375442,0.0246483034501827,2.659146689509887,1011.0263099979558,1013.6854566874656,False
2022-07-03 00:00:00,long,0.8725789785385132,1.562053825165896,74.30511285951259,148.61022571902518,0.17833227086283024,-0.0057715557060575,-1.0360444670899631,1013.6854566874656,1012.6494122203757,False
2022-07-03 01:00:00,long,0.9702627062797546,1.8375393576397796,74.69685151900357,149.39370303800715,0.1792724436456086,-0.005699509649128,-1.0307432956296934,1012.6494122203757,1011.618668924746,False
2022-07-04 00:00:00,short,0.05449220910668373,1.9711296209800764,67.95022455308039,135.90044910616078,0.16308053892739294,0.0171836628704974,2.1721869624620633,1011.618668924746,1013.7908558872081,False
2022-07-04 01:00:00,short,0.16861002147197723,1.6258703067824543,67.27220757938605,134.5444151587721,0.16145329819052653,0.0176071573544433,2.20749139067152,1013.7908558872081,1015.9983472778796,False
2022-07-05 00:00:00,short,0.37606796622276306,1.233584491569942,54.73368291224717,109.46736582449434,0.1313608389893932,0.0267140985936517,2.7929611644334873,1015.9983472778796,1018.791308442313,False
2022-07-05 02:00:00,short,0.17727653682231903,1.9455253604125735,57.09771809766575,114.1954361953315,0.13703452343439781,0.0246829363662637,2.6816441614926956,1018.791308442313,1021.4729526038058,False
2022-07-06 00:00:00,short,0.2743668854236603,1.747698800583828,52.15817233138202,104.31634466276404,0.12517961359531685,0.0297353379301005,2.9767021465848074,1021.4729526038058,1024.4496547503907,False
2022-07-06 09:00:00,long,0.8093836307525635,2.040419794933703,53.757529327438206,107.51505865487641,0.1290180703858517,-0.0112622845625029,-1.33988325571126,1024.4496547503907,1023.1097714946794,False
2022-07-07 02:00:00,short,0.3297065794467926,1.1442459167636538,65.77683938263799,131.55367876527598,0.1578644145183312,0.0187569546017593,2.309681965776377,1023.1097714946794,1025.4194534604558,False
