open_time,open,high,low,close,volume,close_time,ema_10,ema_30,rsi_14,macd,macd_signal,macd_diff,atr,label,ret_tp_long,ret_sl_long,ret_tp_short,ret_sl_short
2022-01-01 02:00:00+00:00,46767.44,46917.87,46709.44,46796.14,4478.713,2022-01-01 02:59:59.999000+00:00,46693.94983471074,46666.485254942774,99.99999999999909,18.84900609572651,5.260198939943221,13.588807155783288,367.27666666666727,1,0.01569687870267365,-0.00627875148106946,0.01569687870267365,-0.00627875148106946
2022-01-01 03:00:00+00:00,46796.15,46888.0,46746.32,46789.56,4208.992,2022-01-01 03:59:59.999000+00:00,46711.33350112696,46674.4255610755,99.54413935519263,25.578976378696098,9.323954427693797,16.2550219510023,310.8775000000005,1,0.013288327567089775,-0.005315331026835911,0.013288327567089775,-0.005315331026835911
2022-01-01 04:00:00+00:00,46789.55,46868.74,46605.0,46690.81,6149.298,2022-01-01 04:59:59.999000+00:00,46707.60195546751,46675.482621651274,92.7133591523635,22.68275393510703,11.995714329176444,10.687039605930586,301.45,1,0.012912605285708258,-0.005165042114283303,0.012912605285708258,-0.005165042114283303
2022-01-01 05:00:00+00:00,46690.81,47566.66,46657.99,47184.18,14988.008,2022-01-01 05:59:59.999000+00:00,46794.252509018865,46708.30180735119,94.6782201663472,59.51229186180717,21.49902983570259,38.013262026104584,402.6533333333343,0,0.01706730235995769,-0.006826920943983078,0.01706730235995769,-0.006826920943983078
2022-01-01 06:00:00+00:00,47184.19,47314.4,46914.84,46972.19,7474.84,2022-01-01 06:59:59.999000+00:00,46826.60478010634,46725.32685203821,84.1751623881265,70.77825699684035,31.354875267930144,39.423381728910215,402.2114285714301,1,0.01712551314177304,-0.006850205256709215,0.01712551314177304,-0.006850205256709215
2022-01-01 07:00:00+00:00,46972.19,47247.44,46867.0,47186.83,6227.873,2022-01-01 07:59:59.999000+00:00,46892.10027463246,46755.10124868091,85.88279471468623,95.9205572365754,44.2680116616592,51.6525455749162,399.4900000000016,0,0.01693226690582951,-0.006772906762331805,0.01693226690582951,-0.006772906762331805
2022-01-01 08:00:00+00:00,47186.83,47338.0,47060.74,47117.84,6294.515,2022-01-01 08:59:59.999000+00:00,46933.14386106292,46778.503748766016,82.79039771612761,109.02235306843068,57.2188799430135,51.80347312541718,385.90888888889054,0,0.016380584886271976,-0.00655223395450879,0.016380584886271976,-0.00655223395450879
2022-01-01 09:00:00+00:00,47118.78,47200.0,46920.02,47137.37,5512.434,2022-01-01 09:59:59.999000+00:00,46970.275886324205,46801.656410135955,82.97725900825591,119.60282156269386,69.69566826694957,49.907153295744294,375.3160000000018,0,0.015924350467580256,-0.006369740187032103,0.015924350467580256,-0.006369740187032103
2022-01-01 10:00:00+00:00,47137.01,47293.76,46700.09,46864.09,11859.238,2022-01-01 10:59:59.999000+00:00,46950.96936153798,46805.68438367557,71.30952900363152,104.72925332813611,76.70238527918688,28.026868048949225,395.16636363636576,1,0.016864356637944566,-0.006745742655177827,0.016864356637944566,-0.006745742655177827
2022-01-01 11:00:00+00:00,46867.57,47003.92,46750.0,46755.01,5755.1,2022-01-01 11:59:59.999000+00:00,46915.34038671289,46802.41506859973,67.24500864192068,83.18113857653225,77.99813593865596,5.183002637876285,383.39583333333513,1,0.01640020324381644,-0.006560081297526578,0.01640020324381644,-0.006560081297526578
2022-01-01 12:00:00+00:00,46755.01,47148.0,46755.01,47062.37,6002.673,2022-01-01 12:59:59.999000+00:00,46942.07304367418,46819.18635449652,72.07495700422182,89.86952572468726,80.37241389586222,9.497111828825041,384.1338461538477,1,0.01632445820955671,-0.006529783283822684,0.01632445820955671,-0.006529783283822684
2022-01-01 13:00:00+00:00,47062.37,47200.0,46907.65,47005.55,5855.182,2022-01-01 13:59:59.999000+00:00,46953.61430846069,46831.20981549675,70.01943483663413,89.55291137381573,82.20851339145293,7.344397982362807,377.5778571428585,1,0.016065245790884627,-0.006426098316353852,0.016065245790884627,-0.006426098316353852
2022-01-01 14:00:00+00:00,47005.55,47105.19,46830.23,46909.2,5335.895,2022-01-01 14:59:59.999000+00:00,46945.53897964965,46836.24144030342,66.55332209776712,80.59826581260131,81.88646387568261,-1.2881980630812961,360.1335714285727,1,0.015354496407040525,-0.00614179856281621,0.015354496407040525,-0.00614179856281621
2022-01-01 16:00:00+00:00,47194.77,47500.0,47157.59,47249.99,8978.195,2022-01-01 16:59:59.999000+00:00,47037.970887203475,46884.574059620376,71.91496193084325,110.39416508462455,89.75742264158525,20.636742443039296,387.8621428571444,0,0.01641744867489472,-0.006566979469957889,0.01641744867489472,-0.006566979469957889
2022-01-01 17:00:00+00:00,47250.0,47943.77,47220.03,47733.16,13824.724,2022-01-01 17:59:59.999000+00:00,47164.368907711934,46939.32153964487,77.7163798446355,159.39163825783908,103.68426576483601,55.707372493003064,429.4378571428585,0,0.017993271643564283,-0.007197308657425714,0.017993271643564283,-0.007197308657425714
2022-01-01 18:00:00+00:00,47733.16,47832.04,47400.44,47546.74,9854.73,2022-01-01 18:59:59.999000+00:00,47233.89092449158,46978.509827409725,71.57328382004538,181.09243190343113,119.16589899255504,61.92653291087609,441.42785714285856,0,0.018568165015850027,-0.007427266006340011,0.018568165015850027,-0.007427266006340011
2022-01-01 19:00:00+00:00,47546.74,47603.9,47278.67,47326.98,5808.847,2022-01-01 19:59:59.999000+00:00,47250.816210947654,47000.99177402846,65.04594993274753,178.5000345385415,131.03272610175236,47.46730843678915,399.7535714285727,0,0.01689326348009413,-0.006757305392037652,0.01689326348009413,-0.006757305392037652
2022-01-01 20:00:00+00:00,47326.99,47549.98,47223.0,47385.22,5905.027,2022-01-01 20:59:59.999000+00:00,47275.25326350262,47025.780691833075,65.93265775923915,179.080691480136,140.6423191774291,38.43837230270691,394.5692857142868,0,0.016653685926298824,-0.0066614743705195305,0.016653685926298824,-0.0066614743705195305
2022-01-01 21:00:00+00:00,47385.21,47533.59,47262.48,47322.2,5161.124,2022-01-01 21:59:59.999000+00:00,47283.78903377487,47044.904518166426,64.03955978157282,172.46758006423624,147.00737135479054,25.46020870944571,386.7600000000005,0,0.016345816551216998,-0.0065383266204868,0.016345816551216998,-0.0065383266204868
2022-01-01 22:00:00+00:00,47322.19,47484.48,47202.47,47428.16,4628.942,2022-01-01 22:59:59.999000+00:00,47310.03830036125,47069.630678284724,65.8167507006116,173.7735744812453,152.3606119800815,21.412962501163804,387.09928571428617,0,0.016323605457782303,-0.006529442183112921,0.016323605457782303,-0.006529442183112921
2022-01-01 23:00:00+00:00,47428.17,47813.43,47267.08,47704.35,7795.54,2022-01-01 23:59:59.999000+00:00,47381.7313366592,47110.58031194378,69.98116225727631,194.8487145574618,160.85823249555756,33.99048206190423,406.1257142857144,0,0.017026779079296308,-0.0068107116317185235,0.017026779079296308,-0.0068107116317185235
2022-01-02 00:00:00+00:00,47704.35,47745.61,47352.58,47622.14,8231.279,2022-01-02 00:59:59.999000+00:00,47425.44200272116,47143.584162786115,67.3509814116595,202.58201559088047,169.20298911462214,33.37902647625833,391.79428571428537,0,0.016454291458312682,-0.006581716583325074,0.016454291458312682,-0.006581716583325074
2022-01-02 01:00:00+00:00,47622.14,47633.11,47312.99,47381.21,4396.838,2022-01-02 01:59:59.999000+00:00,47417.399820408216,47158.91486196121,60.20902831347671,187.11275553910673,172.78494239951908,14.327813139587647,396.5228571428571,0,0.016737557235995328,-0.006695022894398131,0.016737557235995328,-0.006695022894398131
2022-01-02 02:00:00+00:00,47381.21,47454.65,47282.5,47374.28,4189.093,2022-01-02 02:59:59.999000+00:00,47409.55985306126,47172.80938699597,60.01190521483337,172.30780529297044,172.68951497820936,-0.381709685238917,380.74857142857167,0,0.016074062610706555,-0.006429625044282622,0.016074062610706555,-0.006429625044282622
2022-01-02 03:00:00+00:00,47374.29,47470.0,47263.28,47330.75,4022.971,2022-01-02 03:59:59.999000+00:00,47395.230788868306,47182.99910396397,58.7116157399449,155.27238495433994,169.2060889734355,-13.933704019095558,374.63214285714326,0,0.015830391145593224,-0.00633215645823729,0.015830391145593224,-0.00633215645823729
