slice,feature,importance,f1
1,open,-0.0037000000000000366,0.34961832061068704
1,high,0.0007999999999999785,0.34961832061068704
1,low,-0.006900000000000017,0.34961832061068704
1,close,-0.004800000000000049,0.34961832061068704
1,volume,0.001399999999999979,0.34961832061068704
1,ema_10,0.04039999999999995,0.34961832061068704
1,ema_30,0.07919999999999996,0.34961832061068704
1,rsi_14,0.0031999999999999806,0.34961832061068704
1,macd,-0.0033000000000000364,0.34961832061068704a
1,macd_signal,-0.0026000000000000467,0.34961832061068704
1,macd_diff,0.002699999999999969,0.34961832061068704
1,atr,-0.00040000000000004474,0.34961832061068704
1,ret_tp_long,-0.0014000000000000234,0.34961832061068704
1,ret_sl_long,0.0,0.34961832061068704
1,ret_tp_short,0.0012999999999999457,0.34961832061068704
1,ret_sl_short,-0.0045000000000000595,0.34961832061068704
2,open,-0.00030000000000001136,0.04040404040404041
2,high,0.00039999999999997817,0.04040404040404041
2,low,0.0012999999999999678,0.04040404040404041
2,close,0.0037999999999999813,0.04040404040404041
2,volume,-0.00020000000000002237,0.04040404040404041
2,ema_10,0.0010999999999999899,0.04040404040404041
2,ema_30,0.00019999999999997797,0.04040404040404041
2,rsi_14,0.0005999999999999784,0.04040404040404041
2,macd,-4.4408920985006264e-17,0.04040404040404041
2,macd_signal,9.999999999998899e-05,0.04040404040404041
2,macd_diff,0.0005999999999999784,0.04040404040404041
2,atr,0.0006999999999999895,0.04040404040404041
2,ret_tp_long,0.00029999999999996696,0.04040404040404041
2,ret_sl_long,0.0004999999999999894,0.04040404040404041
2,ret_tp_short,0.0004999999999999449,0.04040404040404041
2,ret_sl_short,0.00029999999999996696,0.04040404040404041
3,open,-0.0016000000000000237,0.308529945553539
3,high,-0.0005000000000000337,0.308529945553539
3,low,-0.010199999999999964,0.308529945553539
3,close,-2.2204460492503132e-17,0.308529945553539
3,volume,-0.0034000000000000475,0.308529945553539
3,ema_10,-0.012799999999999988,0.308529945553539
3,ema_30,-0.013199999999999967,0.308529945553539
3,rsi_14,-0.010299999999999998,0.308529945553539
3,macd,-0.0026000000000000246,0.308529945553539
3,macd_signal,-0.0011000000000000343,0.308529945553539
3,macd_diff,-0.015999999999999993,0.308529945553539
3,atr,-0.030799999999999984,0.308529945553539
3,ret_tp_long,-0.0003000000000000336,0.308529945553539
3,ret_sl_long,-0.005299999999999994,0.308529945553539
3,ret_tp_short,-0.006600000000000006,0.308529945553539
3,ret_sl_short,-0.0027000000000000357,0.308529945553539
4,open,0.0022999999999999687,0.02027027027027027
4,high,-0.006700000000000039,0.02027027027027027
4,low,0.0029999999999999584,0.02027027027027027
4,close,-0.0008000000000000451,0.02027027027027027
4,volume,-0.006700000000000017,0.02027027027027027
4,ema_10,-0.0026000000000000246,0.02027027027027027
4,ema_30,-0.005500000000000016,0.02027027027027027
4,rsi_14,-0.006600000000000006,0.02027027027027027
4,macd,-0.008600000000000052,0.02027027027027027
4,macd_signal,-0.004900000000000038,0.02027027027027027
4,macd_diff,-0.005800000000000027,0.02027027027027027
4,atr,-0.0032000000000000474,0.02027027027027027
4,ret_tp_long,-0.010500000000000042,0.02027027027027027
4,ret_sl_long,-0.01050000000000002,0.02027027027027027
4,ret_tp_short,-0.008400000000000029,0.02027027027027027
4,ret_sl_short,-0.010100000000000043,0.02027027027027027
5,open,-0.0013000000000000344,0.010033444816053512
5,high,-0.0012000000000000454,0.010033444816053512
5,low,-0.0014000000000000234,0.010033444816053512
5,close,-0.0014000000000000457,0.010033444816053512
5,volume,0.00039999999999995595,0.010033444816053512
5,ema_10,-0.0015000000000000347,0.010033444816053512
5,ema_30,-0.001100000000000012,0.010033444816053512
5,rsi_14,-0.0025000000000000577,0.010033444816053512
5,macd,-0.0018000000000000238,0.010033444816053512
5,macd_signal,-0.0012000000000000454,0.010033444816053512
5,macd_diff,-0.0007000000000000339,0.010033444816053512
5,atr,0.0011999999999999789,0.010033444816053512
5,ret_tp_long,0.001599999999999957,0.010033444816053512
5,ret_sl_long,0.001499999999999968,0.010033444816053512
5,ret_tp_short,0.0004999999999999449,0.010033444816053512
5,ret_sl_short,0.0012999999999999678,0.010033444816053512
6,open,0.001399999999999979,0.04220779220779221
6,high,0.0002999999999999892,0.04220779220779221
6,low,0.00019999999999997797,0.04220779220779221
6,close,0.0014999999999999458,0.04220779220779221
6,volume,0.0009999999999999788,0.04220779220779221
6,ema_10,-0.0011000000000000343,0.04220779220779221
6,ema_30,-0.0008000000000000451,0.04220779220779221
6,rsi_14,-0.00020000000000002237,0.04220779220779221
6,macd,0.0005999999999999784,0.04220779220779221
6,macd_signal,0.0029999999999999584,0.04220779220779221
6,macd_diff,0.00039999999999997817,0.04220779220779221
6,atr,0.00129999999999999,0.04220779220779221
6,ret_tp_long,0.0018999999999999683,0.04220779220779221
6,ret_sl_long,0.0010999999999999678,0.04220779220779221
6,ret_tp_short,0.00259999999999998,0.04220779220779221
6,ret_sl_short,0.001399999999999979,0.04220779220779221
7,open,0.004799999999999982,0.15743440233236153
7,high,0.0033999999999999586,0.15743440233236153
7,low,0.0019999999999999797,0.15743440233236153
7,close,-0.0013000000000000344,0.15743440233236153
7,volume,0.0032999999999999696,0.15743440233236153
7,ema_10,0.0030999999999999917,0.15743440233236153
7,ema_30,0.0032999999999999917,0.15743440233236153
