scenario,final_equity,cagr_multiple,max_drawdown,mean_ret,std_ret,winrate
BASELINE,3.2493574049154585e+46,3.2493574049154583e+43,-0.14424475204929496,0.007652453802925276,0.011966253535581704,0.6479457218243498
LIGHT_FRICTION,1.137951425862218e+40,1.137951425862218e+37,-0.20435065692266238,0.006522756783421146,0.01185365544815878,0.6479457218243498
MEDIUM_FRICTION,1.5557767264878743e+31,1.5557767264878743e+28,-0.2975050633001162,0.004973915364160801,0.011720517792966801,0.6478703354692801
HEAVY_FRICTION,2.9963248831906076e+16,29963248831906.074,-0.455044705274382,0.002409179069983297,0.01160370053179137,0.6329438371654731
EXTREME_FRICTION,1.3885664364644781e-13,1.3885664364644782e-16,-0.9999999999999998,-0.0026786747908020634,0.01182006804447743,0.5092348284960422
