avg_confidence,realized_winrate,avg_probability,count
0.05195380286553951,0.2742402315484805,0.4970151071265534,4146
0.14963169628406167,0.26693995659512904,0.48021189472115927,4147
0.23875242229694912,0.2731660231660232,0.44720945732027984,4144
0.31452342494513746,0.26356402218471187,0.3954295681626474,4147
0.3753989084037633,0.26327220077220076,0.34572603061263046,4144
0.4215733938411533,0.27206946454413894,0.2648863707742309,4146
0.45432796603939385,0.28171731789676796,0.20184415300209135,4146
0.4761443871622782,0.30012062726176114,0.1188691311654049,4145
0.4894361868948958,0.2841978287092883,0.0775585705503165,4145
0.4973084559934657,0.23516642547033284,0.027586524498323346,4146
