predicted_prob,realized_freq,abs_gap
0.0027448674890708995,0.2375783888084901,0.2348335213194192
0.011237950765934044,0.2826139377863516,0.27137598702041754
0.026735716076427527,0.3026061776061776,0.27587046152975003
0.055623221001604654,0.28164938509766096,0.2260261640960563
0.10624126372780242,0.25162846803377564,0.14538720430597324
0.1915693287466921,0.260313630880579,0.06874430213388691
0.3226101640193971,0.2632086851628468,0.05940147885655034
0.5064024082126677,0.2768933912204534,0.22950901699221427
0.7184197947113304,0.2759951749095296,0.44242461980180087
0.9148531046629067,0.2819585142305837,0.632894590432323
