reshuffle_final,reshuffle_mdd,bootstrap_final,bootstrap_mdd,block_final,block_mdd
63825.930775271285,-0.009470991417507069,56252.861549027824,-0.008416873759582777,92152.59245556494,-0.013348368769553143
63825.93077527117,-0.007232433839823416,57442.2212262815,-0.006898922998038182,50049.79005987387,-0.015667311622953317
63825.93077527143,-0.006805136820201008,60272.64832071816,-0.006672303071636798,67028.65648610995,-0.028274160352026123
63825.930775271554,-0.010163487713483188,65235.88494672746,-0.00825480447863336,67681.19168763034,-0.0116129142894289
63825.9307752713,-0.007927622004264334,65404.875968874265,-0.00851000323687745,71852.72819503692,-0.010714589306848876
63825.93077527181,-0.007603170457537556,57021.35381754429,-0.007970269376518457,52801.63715008503,-0.01308850525616534
63825.93077527124,-0.00660268185681101,60512.67398067757,-0.006690221799155349,67963.13827351226,-0.017320400741179243
63825.93077527115,-0.005890158078371566,61500.828907174335,-0.007716683458389717,71950.51475657128,-0.012319884649240498
63825.93077527127,-0.00846991611536263,60661.730611733634,-0.00716174085517951,63535.59226497577,-0.011796610882015779
63825.930775271394,-0.007032442223883439,68599.05976587073,-0.006513244061554069,64812.18538802131,-0.022703792684100277
63825.93077527171,-0.00744334217080822,76610.20446425621,-0.005911590650676812,70422.42908676929,-0.01018647617584778
63825.93077527101,-0.006335461911566531,67248.33298787978,-0.007048965096158821,65075.62050869538,-0.01349514708104782
63825.930775271234,-0.006981113454589405,58132.390332570816,-0.007316670283001203,54685.6233594603,-0.016709131081183548
63825.93077527159,-0.008125806902119281,61893.65035153409,-0.007003287108423906,66442.17749580149,-0.014025000756894168
63825.93077527122,-0.007618362574139059,60072.32388952625,-0.007640938641953476,75005.75226852503,-0.013203698709409739
63825.93077527151,-0.007730824809359382,64769.856413518246,-0.006461952997896758,60201.748354042975,-0.019079240862745817
63825.93077527153,-0.006467069825672023,67747.90982313396,-0.006737372569793454,69890.76269412616,-0.011615870464489642
63825.930775271016,-0.006817675776682575,51207.827609197244,-0.006290202290852309,77554.52462814096,-0.012725658184418953
63825.9307752715,-0.006178567832678561,59785.7263386403,-0.00700309514259112,63813.354918209305,-0.014951227971758518
63825.930775271016,-0.006775391111907281,63694.847390129435,-0.006263774800036592,58473.51360125028,-0.012899108367691259
63825.93077527184,-0.007675003264142943,67377.378807364,-0.009690877268817233,66858.81019289605,-0.016027378905170142
63825.93077527129,-0.006075968147775557,58671.967342925294,-0.006983081836115956,59817.81614618902,-0.01234048785465347
63825.93077527115,-0.009497001330967536,63978.13743886845,-0.00617756997204344,71177.18725445025,-0.019590600642423128
63825.93077527087,-0.008581507459939686,66902.47453985312,-0.007049190135740124,62213.83289526911,-0.014425312005828306
63825.93077527131,-0.008604580489899871,65827.4484509376,-0.008363958295882878,81125.84507594565,-0.012367690894647954
63825.930775271394,-0.005863311829460538,62384.15885375373,-0.007609809005146628,54857.49157137128,-0.014528255093476883
63825.930775270914,-0.007893818406726982,65325.610916687365,-0.006654435632025835,64297.675862441705,-0.011798220136666426
63825.93077527123,-0.007716712257816005,67202.30411441061,-0.0072950618121250255,64714.892056254124,-0.011796610882016001
63825.930775270994,-0.008215758292560937,61494.4442572635,-0.008024102450357784,48965.2932463333,-0.020719371089354843
63825.93077527134,-0.008778055168667365,62803.93382498347,-0.006297894459935227,54652.0574038174,-0.015142007027466264
63825.93077527107,-0.006772254714271009,56081.8162641623,-0.00836953633830717,63186.60023223719,-0.014674128869236247
63825.93077527121,-0.006690106489889991,61977.77988508063,-0.009150494146908272,68588.70234552778,-0.01349514708104771
63825.930775271176,-0.007557704265154674,69788.68907474479,-0.006832053757330314,73663.15013068063,-0.013601917330680502
63825.93077527179,-0.006313087252747263,52156.68830699564,-0.006747649942035361,56809.05039557635,-0.0142310862688948
63825.93077527109,-0.007710709965734752,64899.88415435588,-0.008606842424716876,57949.71444681587,-0.01436808930698863
63825.93077527146,-0.007090613106662036,58056.83975970604,-0.006303287903127175,64358.33982237343,-0.01032790424189256
63825.9307752713,-0.007279196234294183,61410.77601842616,-0.009682067996742205,64673.36578828867,-0.016202483319036953
63825.93077527106,-0.006859139559300176,64214.93776248669,-0.007200158737949769,69317.50971108786,-0.011796610882016334
63825.93077527149,-0.007277987536252972,71549.11500933269,-0.006629766909814427,57586.163327521106,-0.013043191122729114
63825.9307752715,-0.010908943433507345,60750.12749758056,-0.007476556416572522,78942.6355124042,-0.014011160374381437
63825.93077527106,-0.007034161200015432,62645.08586000056,-0.00814618253539967,66456.65870151999,-0.013634645350070418
63825.930775271234,-0.006052366073449056,57202.13167813504,-0.006890718026197451,59626.597637625404,-0.017582149203506647
63825.930775271576,-0.009825461725224915,66771.4309852473,-0.008716333758451822,70960.08553595039,-0.010708689506017333
63825.93077527176,-0.01006825007245915,63103.21228246107,-0.00921333977330241,65816.2450042372,-0.01160750987214565
63825.93077527138,-0.009761892822890306,72182.41837857397,-0.007366928168345166,58643.07928604818,-0.01898307535565802
63825.93077527124,-0.007012187012453541,66561.82207866004,-0.006509371264606045,56140.73658137834,-0.016298363156000972
63825.93077527177,-0.006387952455192081,63205.0029053598,-0.006049418399107553,74076.17274050666,-0.014465701825044475
63825.93077527137,-0.006218110017623846,58495.015540666835,-0.007948078321599383,69130.4752258603,-0.01527677871879074
63825.93077527125,-0.006526910055257185,64558.013224359755,-0.008430088752173659,61834.22977859511,-0.013495147081048264
63825.930775271365,-0.0077131916595643,59627.656544224046,-0.007731314804849343,71103.40025881508,-0.015228466401788876
63825.93077527118,-0.006971309852694341,62532.570103428094,-0.008046715290978668,67571.58350459977,-0.015366657404770834
63825.93077527161,-0.009573685208370764,59348.58010915712,-0.008413999478123713,71855.90680996973,-0.015169327666108456
63825.930775271074,-0.008863968326881855,76134.83420462804,-0.007189782208137041,68142.83935492784,-0.014854752761977563
63825.93077527134,-0.0067628424975128,61327.0056870223,-0.007231131369000998,56566.81153316162,-0.01445763326865801
63825.930775271234,-0.008392629501552507,56603.40540694145,-0.006117350443135439,56213.66279108658,-0.017789952347172622
63825.93077527121,-0.006582691998019419,65303.81660032604,-0.008443262679653674,61807.97367316518,-0.013203698709409628
63825.93077527135,-0.00902077429623982,60213.427091838144,-0.007693460284787124,69186.34585149912,-0.013601917330680946
63825.93077527131,-0.007386432330614867,61196.617979944764,-0.00656286411914786,65686.27035418218,-0.014126584818924037
63825.93077527149,-0.007894548635132725,68040.01379194992,-0.008461073129196417,60270.15227522685,-0.01680485723556091
63825.93077527153,-0.008797382596958836,70964.21691333168,-0.006629219434551081,61638.94552466784,-0.01767300994286969
63825.93077527128,-0.008890595681474545,64175.03748519366,-0.006746070057158882,62639.757483992355,-0.01115891215630782
63825.93077527122,-0.007601504867237319,65198.17545473259,-0.007519235994922213,77325.53239968758,-0.013432480383914536
63825.9307752713,-0.007943373554608835,53979.05995646164,-0.006173649178432217,57073.53752042054,-0.01593605613826954
63825.93077527146,-0.005396470122372654,76631.4825070075,-0.008695863231569234,57654.54190411562,-0.016607768771991216
63825.93077527163,-0.008890089910619459,52570.34992943629,-0.008038757416862219,66210.8374016889,-0.016081927147773234
