vol_regime,above_200dma,win_rate,count
low,0,0.25368657835541114,4001
low,1,0.29365079365079366,4284
mid_low,0,0.28488372093023256,3784
mid_low,1,0.28149300155520995,4501
mid_high,0,0.24455569461827284,3995
mid_high,1,0.25944055944055944,4290
high,0,0.2478009010941858,4661
high,1,0.26241721854304634,3624
