regime,n,ac1,ac2,ac3,p,sig
HIGH_VOL,9751,-0.016098229475908648,0.0038084555879030826,-0.002771949572850031,0.11193548319050772,n.s.
MIDHIGH_VOL,9065,-0.0017043452767277426,-0.01749029087115283,-0.008405678939839154,0.8711098103844104,n.s.
MIDLOW_VOL,10454,-0.014620813718634338,-0.012620167064599185,-0.009445580415078704,0.1349657664662216,n.s.
LOW_VOL,10518,-0.040712952457672626,-0.023352385143373525,0.005895683859012747,2.9583905627017515e-05,***
ALL,39788,-0.01059302382794229,-0.0018920397230397516,-0.004646972389963881,0.03460283083079707,*
