open_time,hour_utc,session,vol_regime,vol_bucket,rel_volume,win,ret,p_up
2022-06-30 15:00:00+00:00,15,Europa (08-16),HIGH_VOL,Q4_alto,1.1669129001822096,True,0.02556980165678,0.43381035
2022-06-30 16:00:00+00:00,16,USA    (16-24),HIGH_VOL,Q3,0.9607043415885613,True,0.0265110818188268,0.42919344
2022-07-01 00:00:00+00:00,0,Asia   (00-08),HIGH_VOL,Q4_alto,2.7664669845756586,True,0.0381205855700126,0.4322529
2022-07-01 01:00:00+00:00,1,Asia   (00-08),HIGH_VOL,Q3,0.8744399572296904,True,0.0383155392093393,0.46746
2022-07-02 00:00:00+00:00,0,Asia   (00-08),MIDHIGH_VOL,Q3,0.7019708694079714,True,0.0243586458948172,0.43895632
2022-07-02 01:00:00+00:00,1,Asia   (00-08),MIDHIGH_VOL,Q2,0.4980984718507061,True,0.0234483034501827,0.45674953
2022-07-03 00:00:00+00:00,0,Asia   (00-08),LOW_VOL,Q3,0.7641420413602724,True,0.0132288892651439,0.47070876
2022-07-03 01:00:00+00:00,1,Asia   (00-08),LOW_VOL,Q2,0.49505155875224466,True,0.01304877412282,0.47070876
2022-07-04 00:00:00+00:00,0,Asia   (00-08),MIDLOW_VOL,Q3,0.801142242275632,True,0.0159836628704974,0.47070876
2022-07-04 01:00:00+00:00,1,Asia   (00-08),MIDLOW_VOL,Q3,1.0454750795152778,True,0.0164071573544433,0.47070876
2022-07-05 00:00:00+00:00,0,Asia   (00-08),HIGH_VOL,Q4_alto,1.3304196693942114,True,0.0255140985936517,0.49442697
2022-07-05 02:00:00+00:00,2,Asia   (00-08),HIGH_VOL,Q2,0.45682356825858633,True,0.0234829363662637,0.4801261
2022-07-06 00:00:00+00:00,0,Asia   (00-08),HIGH_VOL,Q3,0.7647983460819838,True,0.0285353379301005,0.46746
2022-07-06 09:00:00+00:00,9,Europa (08-16),HIGH_VOL,Q2,0.5534291181875658,True,0.0269557114062574,0.46746
2022-07-07 02:00:00+00:00,2,Asia   (00-08),MIDLOW_VOL,Q2,0.646573499613989,True,0.0175569546017593,0.47070876
2022-07-07 06:00:00+00:00,6,Asia   (00-08),LOW_VOL,Q2,0.6024805809214506,False,-0.0077351973339834,0.47070876
2022-07-08 00:00:00+00:00,0,Asia   (00-08),MIDHIGH_VOL,Q2,0.5908327187414006,False,-0.0110305791840137,0.49442697
2022-07-08 01:00:00+00:00,1,Asia   (00-08),HIGH_VOL,Q4_alto,2.195202492000274,True,0.0285074181409788,0.48379886
2022-07-09 02:00:00+00:00,2,Asia   (00-08),MIDHIGH_VOL,Q1_bajo,0.3271555528232066,True,0.0270518263927319,0.4644644
2022-07-09 03:00:00+00:00,3,Asia   (00-08),MIDHIGH_VOL,Q1_bajo,0.33984172654633465,True,0.0262323217269356,0.4644644
2022-07-10 00:00:00+00:00,0,Asia   (00-08),MIDLOW_VOL,Q4_alto,1.2027112939854931,True,0.0176083938750868,0.452825
2022-07-10 01:00:00+00:00,1,Asia   (00-08),LOW_VOL,Q3,0.9649691521916819,True,0.0154517075123872,0.452825
2022-07-11 00:00:00+00:00,0,Asia   (00-08),MIDHIGH_VOL,Q3,1.0937525039130815,True,0.0191263505064592,0.40525505
2022-07-11 02:00:00+00:00,2,Asia   (00-08),MIDHIGH_VOL,Q4_alto,1.1660672507199197,True,0.0209584476778308,0.41677123
2022-07-12 00:00:00+00:00,0,Asia   (00-08),MIDHIGH_VOL,Q4_alto,1.3986966281467095,True,0.0209775487843318,0.41489246
2022-07-12 01:00:00+00:00,1,Asia   (00-08),MIDHIGH_VOL,Q3,0.8035269509758967,True,0.0208324613273362,0.41489246
2022-07-13 00:00:00+00:00,0,Asia   (00-08),MIDHIGH_VOL,Q3,0.7507628183602825,False,-0.009851239990465,0.40525505
2022-07-13 01:00:00+00:00,1,Asia   (00-08),MIDHIGH_VOL,Q1_bajo,0.44097736924942504,False,-0.009403036483118,0.40525505
2022-07-14 00:00:00+00:00,0,Asia   (00-08),HIGH_VOL,Q3,0.7982269262772478,True,0.0376088046586896,0.46746
2022-07-14 01:00:00+00:00,1,Asia   (00-08),HIGH_VOL,Q2,0.5224538232490814,True,0.0383051147028411,0.46746
2022-07-14 15:00:00+00:00,15,Europa (08-16),MIDHIGH_VOL,Q4_alto,3.1852218360560536,True,0.0210172218168155,0.46746
2022-07-14 16:00:00+00:00,16,USA    (16-24),MIDHIGH_VOL,Q4_alto,1.7092318187302564,False,-0.0107586286539767,0.46746
2022-07-15 00:00:00+00:00,0,Asia   (00-08),HIGH_VOL,Q2,0.5651051938386008,False,-0.012046957893837,0.4597862
2022-07-15 02:00:00+00:00,2,Asia   (00-08),HIGH_VOL,Q4_alto,1.3800363389263621,False,-0.0126074228043828,0.4597862
2022-07-16 00:00:00+00:00,0,Asia   (00-08),MIDHIGH_VOL,Q3,0.703906836823391,True,0.0200074674492524,0.46570167
2022-07-16 01:00:00+00:00,1,Asia   (00-08),MIDLOW_VOL,Q2,0.48878912956459164,True,0.0195083325860306,0.47070876
2022-07-17 00:00:00+00:00,0,Asia   (00-08),MIDHIGH_VOL,Q3,0.6918001332812477,True,0.0194094164233699,0.4610217
2022-07-17 01:00:00+00:00,1,Asia   (00-08),MIDHIGH_VOL,Q2,0.6696982826538318,False,-0.0100288453797087,0.4597862
2022-07-18 00:00:00+00:00,0,Asia   (00-08),MIDHIGH_VOL,Q3,0.834583864708498,False,-0.009313772907147,0.44217145
2022-07-18 01:00:00+00:00,1,Asia   (00-08),MIDHIGH_VOL,Q3,0.6934520013968698,False,-0.0092137777680887,0.47979954
2022-07-19 00:00:00+00:00,0,Asia   (00-08),HIGH_VOL,Q4_alto,1.9849427394600183,True,0.0379608624164056,0.4597542
2022-07-19 01:00:00+00:00,1,Asia   (00-08),HIGH_VOL,Q3,0.7895791788444829,True,0.0383969245937278,0.4597542
2022-07-20 00:00:00+00:00,0,Asia   (00-08),HIGH_VOL,Q3,0.9381393640942399,False,-0.0160783888381693,0.47312072
2022-07-20 04:00:00+00:00,4,Asia   (00-08),HIGH_VOL,Q1_bajo,0.36392706704766176,False,-0.0149312448071941,0.4801261
2022-07-21 00:00:00+00:00,0,Asia   (00-08),HIGH_VOL,Q2,0.49531822298613126,True,0.033911547318421,0.46207651
2022-07-21 01:00:00+00:00,1,Asia   (00-08),HIGH_VOL,Q2,0.5174955803150837,True,0.0341754206600672,0.46207651
2022-07-22 00:00:00+00:00,0,Asia   (00-08),MIDLOW_VOL,Q3,0.6902723800491919,True,0.0244489779775236,0.46746
2022-07-22 01:00:00+00:00,1,Asia   (00-08),MIDLOW_VOL,Q2,0.4695736456492509,True,0.0232315578102012,0.46746
2022-07-23 00:00:00+00:00,0,Asia   (00-08),MIDLOW_VOL,Q2,0.6509929317711836,True,0.022529694541624002,0.42135316
2022-07-23 01:00:00+00:00,1,Asia   (00-08),MIDLOW_VOL,Q1_bajo,0.35268241018997204,True,0.021852866099811002,0.42135316
2022-07-24 00:00:00+00:00,0,Asia   (00-08),LOW_VOL,Q3,0.9640769807828288,True,0.0188019139981075,0.4322529
2022-07-24 02:00:00+00:00,2,Asia   (00-08),LOW_VOL,Q2,0.5095044258599418,True,0.017192842832083,0.42061746
2022-07-25 00:00:00+00:00,0,Asia   (00-08),MIDLOW_VOL,Q4_alto,1.752129934962148,True,0.0203059063939627,0.44959486
2022-07-25 01:00:00+00:00,1,Asia   (00-08),MIDLOW_VOL,Q4_alto,1.1840852104775075,True,0.0198018546189793,0.45425656
2022-07-26 01:00:00+00:00,1,Asia   (00-08),MIDHIGH_VOL,Q3,0.7312055209189355,True,0.0252649232271716,0.42135316
2022-07-26 02:00:00+00:00,2,Asia   (00-08),MIDHIGH_VOL,Q1_bajo,0.35151272622420865,True,0.024659191620422502,0.43381035
2022-07-27 03:00:00+00:00,3,Asia   (00-08),LOW_VOL,Q2,0.6251197607250693,False,-0.0083739512273855,0.4449715
2022-07-27 04:00:00+00:00,4,Asia   (00-08),LOW_VOL,Q1_bajo,0.44244209616369096,False,-0.0080171062706788,0.4449715
2022-07-28 00:00:00+00:00,0,Asia   (00-08),HIGH_VOL,Q3,0.7127288546502413,False,-0.0123142956232051,0.4995067
