fundingTime,fundingRate,realizedRate
2026-04-21 08:00:00+00:00,3.52378802456e-05,3.52378802456e-05
2026-04-21 16:00:00+00:00,1.0889705699e-05,1.0889705699e-05
2026-04-22 00:00:00+00:00,-1.83064589195e-05,-1.83064589195e-05
2026-04-22 08:00:00+00:00,2.56388069934e-05,2.56388069934e-05
2026-04-22 16:00:00+00:00,-3.34068078345e-05,-3.34068078345e-05
2026-04-23 00:00:00+00:00,-4.08133686615e-05,-4.08133686615e-05
2026-04-23 08:00:00+00:00,-8.00159588428e-05,-8.00159588428e-05
2026-04-23 16:00:00+00:00,-2.77255814208e-05,-2.77255814208e-05
2026-04-24 00:00:00+00:00,-4.75768414734e-05,-4.75768414734e-05
2026-04-24 08:00:00+00:00,-4.9164856571e-06,-4.9164856571e-06
2026-04-24 16:00:00+00:00,-1.87689866551e-05,-1.87689866551e-05
2026-04-25 00:00:00+00:00,-1.83864133702e-05,-1.83864133702e-05
2026-04-25 08:00:00+00:00,-3.82878019307e-05,-3.82878019307e-05
2026-04-25 16:00:00+00:00,-6.14399950985e-05,-6.14399950985e-05
2026-04-26 00:00:00+00:00,1.24680904313e-05,1.24680904313e-05
2026-04-26 08:00:00+00:00,4.58259885384e-05,4.58259885384e-05
2026-04-26 16:00:00+00:00,-4.4625313279e-06,-4.4625313279e-06
2026-04-27 00:00:00+00:00,-3.94161045277e-05,-3.94161045277e-05
2026-04-27 08:00:00+00:00,-6.29907601197e-05,-6.29907601197e-05
2026-04-27 16:00:00+00:00,-5.29784340521e-05,-5.29784340521e-05
2026-04-28 00:00:00+00:00,-9.95378713288e-05,-9.95378713288e-05
2026-04-28 08:00:00+00:00,-8.46945606982e-05,-8.46945606982e-05
2026-04-28 16:00:00+00:00,4.30025983087e-05,4.30025983087e-05
2026-04-29 00:00:00+00:00,3.84770050159e-05,3.84770050159e-05
2026-04-29 08:00:00+00:00,-4.28255342382e-05,-4.28255342382e-05
2026-04-29 16:00:00+00:00,1.81048476583e-05,1.81048476583e-05
2026-04-30 00:00:00+00:00,-1.23350143559e-05,-1.23350143559e-05
2026-04-30 08:00:00+00:00,-5.436910025e-06,-5.436910025e-06
2026-04-30 16:00:00+00:00,-6.00960022696e-05,-6.00960022696e-05
2026-05-01 00:00:00+00:00,-2.59477550239e-05,-2.59477550239e-05
2026-05-01 08:00:00+00:00,-9.210843292e-07,-9.210843292e-07
2026-05-01 16:00:00+00:00,-3.24683936345e-05,-3.24683936345e-05
2026-05-02 00:00:00+00:00,-2.96713622132e-05,-2.96713622132e-05
2026-05-02 08:00:00+00:00,7.65314976e-07,7.65314976e-07
2026-05-02 16:00:00+00:00,-6.4207282441e-06,-6.4207282441e-06
2026-05-03 00:00:00+00:00,3.1232914232e-05,3.1232914232e-05
2026-05-03 08:00:00+00:00,-4.40210772168e-05,-4.40210772168e-05
2026-05-03 16:00:00+00:00,2.48259660801e-05,2.48259660801e-05
2026-05-04 00:00:00+00:00,1.31643449698e-05,1.31643449698e-05
2026-05-04 08:00:00+00:00,8.0446591039e-05,8.0446591039e-05
2026-05-04 16:00:00+00:00,-4.58047277264e-05,-4.58047277264e-05
2026-05-05 00:00:00+00:00,-4.80020790019e-05,-4.80020790019e-05
2026-05-05 08:00:00+00:00,3.67601291506e-05,3.67601291506e-05
2026-05-05 16:00:00+00:00,-2.49329738473e-05,-2.49329738473e-05
2026-05-06 00:00:00+00:00,7.131574874e-07,7.131574874e-07
2026-05-06 08:00:00+00:00,-3.94546572329e-05,-3.94546572329e-05
2026-05-06 16:00:00+00:00,1.28483935393e-05,1.28483935393e-05
2026-05-07 00:00:00+00:00,-2.00730970558e-05,-2.00730970558e-05
2026-05-07 08:00:00+00:00,5.0983030498e-06,5.0983030498e-06
2026-05-07 16:00:00+00:00,6.05485360377e-05,6.05485360377e-05
2026-05-08 00:00:00+00:00,3.54460516195e-05,3.54460516195e-05
2026-05-08 08:00:00+00:00,3.489182255e-07,3.489182255e-07
2026-05-08 16:00:00+00:00,-6.2745502734e-06,-6.2745502734e-06
2026-05-09 00:00:00+00:00,-4.9853222137e-06,-4.9853222137e-06
2026-05-09 08:00:00+00:00,4.22967981051e-05,4.22967981051e-05
2026-05-09 16:00:00+00:00,-2.61407703311e-05,-2.61407703311e-05
2026-05-10 00:00:00+00:00,5.91990759781e-05,5.91990759781e-05
2026-05-10 08:00:00+00:00,3.53120541056e-05,3.53120541056e-05
2026-05-10 16:00:00+00:00,9.9003004207e-06,9.9003004207e-06
2026-05-11 00:00:00+00:00,2.50931472841e-05,2.50931472841e-05
2026-05-11 08:00:00+00:00,0.0001,0.0001
2026-05-11 16:00:00+00:00,1.04419087999e-05,1.04419087999e-05
2026-05-12 00:00:00+00:00,-5.63839236705e-05,-5.63839236705e-05
2026-05-12 08:00:00+00:00,2.63186836902e-05,2.63186836902e-05
2026-05-12 16:00:00+00:00,-6.3522672516e-05,-6.3522672516e-05
2026-05-13 00:00:00+00:00,-1.08837927404e-05,-1.08837927404e-05
