open_time,result,pnl,win,funding_rate,funding_abs,funding_regime
2026-06-27 00:00:00+00:00,sl,-1.11,False,4.06267603842e-05,4.06267603842e-05,MOD_POSITIVE
2026-06-27 00:00:00+00:00,sl,-1.12,False,4.06267603842e-05,4.06267603842e-05,MOD_POSITIVE
2026-06-28 00:00:00+00:00,sl,-1.21,False,4.02316180587e-05,4.02316180587e-05,MOD_POSITIVE
2026-06-28 00:00:00+00:00,tp,1.29,True,4.02316180587e-05,4.02316180587e-05,MOD_POSITIVE
2026-06-29 00:00:00+00:00,sl,-1.45,False,4.6598340778e-06,4.6598340778e-06,MOD_NEGATIVE
2026-06-29 00:00:00+00:00,sl,-1.55,False,4.6598340778e-06,4.6598340778e-06,MOD_NEGATIVE
2026-06-30 00:00:00+00:00,tp,2.38,True,8.45798622754e-05,8.45798622754e-05,HIGH_POSITIVE
2026-06-30 00:00:00+00:00,sl,-1.34,False,8.45798622754e-05,8.45798622754e-05,HIGH_POSITIVE
2026-07-01 00:00:00+00:00,tp,2.22,True,4.77134731687e-05,4.77134731687e-05,MOD_POSITIVE
2026-07-01 00:00:00+00:00,tp,2.33,True,4.77134731687e-05,4.77134731687e-05,MOD_POSITIVE
2026-07-06 00:00:00+00:00,tp,1.57,True,6.17667680351e-05,6.17667680351e-05,HIGH_POSITIVE
2026-07-06 00:00:00+00:00,tp,1.76,True,6.17667680351e-05,6.17667680351e-05,HIGH_POSITIVE
2026-07-08 00:00:00+00:00,tp,1.14,True,5.68819916406e-05,5.68819916406e-05,HIGH_POSITIVE
2026-07-08 00:00:00+00:00,sl,-0.67,False,5.68819916406e-05,5.68819916406e-05,HIGH_POSITIVE
2026-07-09 00:00:00+00:00,sl,-1.37,False,7.23410745506e-05,7.23410745506e-05,HIGH_POSITIVE
2026-07-09 00:00:00+00:00,sl,-1.4,False,7.23410745506e-05,7.23410745506e-05,HIGH_POSITIVE
2026-07-10 00:00:00+00:00,sl,-1.38,False,7.32355162048e-05,7.32355162048e-05,HIGH_POSITIVE
