scenario,trades,winrate,mean_return,std_return,sharpe_like,final_multiple,max_drawdown,median_trade,ev_per_trade
BULL_AND_HIGHVOL,1727,0.7261146496815286,0.011384964651016983,0.013341345639226182,0.853359545433677,266329063.33292547,-0.07399109211560197,0.0144706897526961,0.011384964651016983
ONLY_BULL_TREND,6131,0.6778665796770511,0.008461576836056249,0.01142305632286292,0.7407454359110442,1.839767643308731e+22,-0.07494500821718099,0.0107525309972393,0.008461576836056249
COMBINED_FILTER,6702,0.6714413607878246,0.008319931112354876,0.01158333207652193,0.7182675120313734,8.398769949368221e+23,-0.09650705055419362,0.0105727933914771,0.008319931112354876
ONLY_ABOVE_200DMA,6899,0.6689375271778518,0.008258007382620796,0.011592589517003796,0.7123522634693267,2.7740691853276897e+24,-0.08522415875389044,0.0105185733950628,0.008258007382620796
NO_BEAR_RALLY,12283,0.6500854840022796,0.007734834062353198,0.012023985279159011,0.6432837268286233,5.286721338456927e+40,-0.14424475204929502,0.0098223539008458,0.007734834062353198
BASELINE,13265,0.6479457218243498,0.007652453802925276,0.011966253535581704,0.6395028970037422,3.249357404915484e+43,-0.14424475204929504,0.0096348433508392,0.007652453802925276
