scenario,trades,winrate,mean_ret,std_ret,sharpe_like,final_multiple,max_drawdown,ev_per_trade,median_trade
BASELINE,13265,0.6479457218243498,0.007652453802925276,0.011966704607204292,0.6394787917066395,3.249357404915484e+43,-0.144244752049295,0.007652453802925276,0.0096348433508392
FILTER_1_REMOVE_BEAR_RALLY,11859,0.6591618180285016,0.0078929702884538,0.011925632649364613,0.661849188258732,1.3539659805818306e+40,-0.1028541284259521,0.0078929702884538,0.0100064152111967
FILTER_2_ONLY_ABOVE_200DMA,6899,0.6689375271778518,0.008258007382620796,0.011593429772831886,0.7123006344483719,2.7740691853276897e+24,-0.08522415875389044,0.008258007382620796,0.0105185733950628
FILTER_3_BULL_HIGHVOL,3075,0.688780487804878,0.011165129194931348,0.013743176158820562,0.8124125795888465,506161280331988.4,-0.060645902229600535,0.011165129194931348,0.0151851486542048
FILTER_4_COMBINED,5624,0.6744310099573257,0.009334172002388489,0.012381890295214719,0.7538567843712769,3.2269863686010044e+22,-0.08713367306449149,0.009334172002388489,0.01264404354875
