model,brier,logloss,f1
RAW,0.29229637567617894,1.031010015034063,0.26916697382970883
ISOTONIC,0.21055694836973815,1.121137925771391,0.0005322924059616749
PLATT,0.21024707833759343,1.1154014014626612,0.0
