filter,trades,winrate,mean_ret,std_ret,sharpe_like,final_multiple,max_drawdown
REMOVE_BEAR_RALLY,11859,0.6591618180285016,0.0078929702884538,0.011925632649364613,0.661849188258732,1.3539659805818306e+40,-0.1028541284259521
ONLY_BULL_TREND,5264,0.6732522796352584,0.008513665509718714,0.011774202987173035,0.7230778608958591,1.6799398667982975e+19,-0.06448989456108734
ONLY_ABOVE_200DMA,6899,0.6689375271778518,0.008258007382620796,0.011593429772831886,0.7123006344483719,2.7740691853276897e+24,-0.08522415875389044
REMOVE_LOW_VOL,10534,0.6454338333016898,0.00871480580333931,0.01300173716361297,0.6702801090094955,2.0717050135624365e+39,-0.14704910635224688
BULL_AND_HIGHVOL,3075,0.688780487804878,0.011165129194931348,0.013743176158820562,0.8124125795888465,506161280331988.4,-0.060645902229600535
BEST_REGIMES_ONLY,8222,0.6538555096083678,0.008982191954094328,0.013063749836471282,0.6875661327360931,4.275022345646282e+31,-0.10285412842595221
