reshuffle_final,reshuffle_mdd,bootstrap_final,bootstrap_mdd,block_final,block_mdd
7586.437336915339,-0.008304660148884313,7670.235211073626,-0.010564918037150428,8208.439181088223,-0.022833104729315656
7586.437336915336,-0.01215590226937513,9076.100104087824,-0.009449711282610962,5977.798033936741,-0.02445796895862462
7586.437336915311,-0.013014551262807483,6788.071956169494,-0.008952597226716819,7423.324854971841,-0.024457968958624177
7586.437336915343,-0.012083642784645576,8412.533515508936,-0.009643830673959242,8294.206188743803,-0.014135246798214096
7586.437336915335,-0.01732390232213643,7709.702139133163,-0.011098817961167073,7340.726186516932,-0.014135246798214207
7586.437336915324,-0.009866740426809573,7136.382992840161,-0.013376907549726313,6262.1574636909145,-0.02445796895862462
7586.437336915334,-0.009768856939559867,7224.564857002559,-0.009854414015907365,7877.387401369181,-0.013913603044398926
7586.437336915328,-0.010800114002916583,6681.966462826467,-0.009102140222443711,7761.022923328904,-0.012146374058882636
7586.437336915326,-0.01483891198619347,7315.516567625996,-0.010998744034273145,7265.063003541359,-0.015634126604537335
7586.437336915333,-0.00996635300289006,7569.601849855331,-0.00865478789059071,7816.384244032094,-0.025291551873388496
7586.437336915318,-0.01037551844475293,6566.102849467148,-0.014642121406954978,7749.4540391392375,-0.01282779601854167
7586.437336915307,-0.012733559489983226,8583.582225325832,-0.008780128239469831,6779.241235241808,-0.02164807314740458
7586.437336915313,-0.01048654373593838,6888.566999737033,-0.011915731570896537,9190.195409539549,-0.014834550820079229
7586.4373369153145,-0.013486705370242769,7503.682904052732,-0.009905757096110857,6526.231340102405,-0.020541513099299413
7586.437336915305,-0.012495355705724687,7414.416942247041,-0.009819870121850371,8072.6849790677525,-0.011803969618155108
7586.437336915317,-0.012250015557857319,6561.668055476533,-0.011916175813217245,7766.516629238941,-0.012146374058882747
7586.437336915299,-0.010358343189382335,7603.758717970243,-0.010247448920587265,7900.328240346489,-0.018053896067898534
7586.437336915321,-0.01810116134919959,7541.123542205814,-0.008102454035492812,7284.932360184559,-0.022833104729315434
7586.437336915346,-0.016484430920975846,7823.616134623221,-0.009104469024885375,7471.337804889077,-0.012146374058882636
7586.437336915324,-0.009734413915422069,6722.4331018504845,-0.012651647293513535,7360.84710051389,-0.022833104729315323
7586.43733691534,-0.013424698296040316,7828.659596974748,-0.012508572232914905,7587.6821129584105,-0.01774376714903747
7586.437336915335,-0.01259187722559496,8083.314303741179,-0.008038497020391167,7591.333632141654,-0.012350632964152286
7586.437336915292,-0.01406089422533574,7788.178895862839,-0.00967712081262928,7435.108598267075,-0.017203802729197415
7586.4373369153,-0.008836514473573476,8144.097469048708,-0.012311860620912829,8000.291632671929,-0.012146374058882747
7586.437336915334,-0.013372345985457001,6255.618596616916,-0.009642040800380558,7112.027796852635,-0.024457968958624843
7586.437336915327,-0.013192078383432282,7232.0608711918585,-0.011345609610590834,8150.876885958061,-0.01249357353042202
7586.437336915322,-0.012195236837944878,8423.533072066612,-0.013235268603584704,6846.473670282685,-0.021530124049493504
7586.43733691532,-0.00979406209005984,7232.2341489688815,-0.014276647120435748,5954.659794685016,-0.02340982393561064
7586.437336915331,-0.009934623761572281,7870.752481748438,-0.010421879729230143,6882.455213177123,-0.017203802729197526
7586.437336915343,-0.010206251205616135,7240.380528665726,-0.011696887081863339,8778.310523111762,-0.017203802729197526
7586.4373369153445,-0.010006810507060204,7740.347175467473,-0.009873682556524654,8606.214740219466,-0.012146374058882636
7586.437336915326,-0.013958175975699927,6745.608477281323,-0.013308760062785252,7392.842346670022,-0.020562642075490967
7586.437336915304,-0.011369320274830508,7722.318964196274,-0.009372704565452694,6813.657398412044,-0.014265919380092473
7586.437336915334,-0.009838110010587098,8189.989678865126,-0.010834850032170551,7408.036896945562,-0.01774376714903747
7586.437336915327,-0.015899665073610736,7718.628605526145,-0.014024537253126912,7966.766825007124,-0.02371900181720099
7586.437336915336,-0.011415898321472495,8154.031259644096,-0.009447448386364132,7035.722611055047,-0.02471053521954847
7586.437336915312,-0.01087652990980037,8940.900330170325,-0.01209797596601958,7795.110258635983,-0.015662812172786977
7586.4373369153045,-0.010278766470667056,7514.144199266345,-0.011264141574440223,7236.109861363199,-0.010693146104418072
7586.437336915338,-0.012690172571436786,6707.223903600227,-0.01066470515757001,7420.590611597994,-0.027037347463624628
7586.437336915315,-0.011855342414821113,7497.981412920109,-0.01081344741529533,7301.546634145578,-0.02445796895862451
7586.43733691535,-0.010886004156080542,8109.971138764049,-0.009089636812707469,7430.105406850226,-0.02934182696480714
7586.437336915334,-0.010964048538486315,8109.947387412373,-0.009166299529851596,7403.723510841948,-0.01876061248316596
7586.4373369153145,-0.01580067817961739,6859.6613473793095,-0.008703399990674487,8267.485492950887,-0.022833104729315434
7586.437336915327,-0.007564567951747425,7045.91891850891,-0.018619091174761127,7051.372727027329,-0.023327966022027802
7586.437336915316,-0.00978771146887314,6809.178550487657,-0.012512425650446413,7156.734909366989,-0.025004593938527275
7586.437336915312,-0.01229095647381595,7463.123272719112,-0.009747640638621324,7322.139146922332,-0.013552992703336875
7586.437336915341,-0.010596947936673429,7903.821593898473,-0.010768694430212666,7578.044683540689,-0.013133195058233071
7586.437336915313,-0.010564284564043014,6849.488322056186,-0.011620660786887727,6448.682899055743,-0.015634126604537224
7586.437336915315,-0.008902329537833875,7328.036854182205,-0.015136338096791269,8117.418012696775,-0.021664520330584747
7586.437336915349,-0.015915558946002606,7142.446820839502,-0.010159536140591618,8263.92719667145,-0.01672550408698803
7586.437336915314,-0.009257385385508465,6834.782885789323,-0.011873661609433928,6282.724991883112,-0.018448563946129704
7586.437336915327,-0.011927039958627872,9150.005700030237,-0.009934457291077337,7671.435219986865,-0.025096978808101356
7586.437336915337,-0.008701102331488686,7698.691563913427,-0.009449966644396346,6425.273160515738,-0.010631102178652041
