ts,oi_usd,volume_usd,oi_change_1h,oi_change_8h,oi_zscore_24h,volume_oi_ratio,funding_rate,funding_sign,funding_extreme
2026-04-26 03:00:00+00:00,3248547639.5263,55801909.5861,-0.00044336028731928323,-0.012384368346359476,-1.518237803202932,0.017177494615482066,7.1841412414e-06,1.0,0
2026-04-26 04:00:00+00:00,3250289781.2549,92041046.9429,0.0005362832631428116,-0.011238999144536521,-1.3572042307663774,0.028317797223410646,7.1841412414e-06,1.0,0
2026-04-26 05:00:00+00:00,3239447420.9767,175295946.939,-0.0033358134221540547,-0.01017462676086256,-1.5251482300241264,0.05411291623500033,7.1841412414e-06,1.0,0
2026-04-26 06:00:00+00:00,3265569946.3643,424450869.4321,0.008063883123537119,0.0015864232830342662,-0.7347980554799199,0.1299775770856354,7.1841412414e-06,1.0,0
2026-04-26 07:00:00+00:00,3278549612.2273,124007409.2405,0.00397470153026469,0.006888949833787628,-0.2911886218907588,0.03782386234999046,7.1841412414e-06,1.0,0
2026-04-26 08:00:00+00:00,3276917771.3739,85780610.7154,-0.0004977325483543904,0.006837815492575894,-0.2761306841437638,0.02617722405632263,2.57806854046e-05,1.0,0
2026-04-26 09:00:00+00:00,3297347949.5345,147450405.4435,0.006234571504683872,0.013268423847240696,0.4759461110689907,0.04471787864071675,2.57806854046e-05,1.0,0
2026-04-26 10:00:00+00:00,3295522784.7434,90628861.6046,-0.0005535250810754233,0.01401058144710654,0.46371935990370833,0.02750060233968513,2.57806854046e-05,1.0,0
2026-04-26 11:00:00+00:00,3283228611.6457,90014844.2238,-0.003730568380414745,0.010675839164992817,0.08703604355230535,0.027416563045447075,2.57806854046e-05,1.0,0
2026-04-26 12:00:00+00:00,3287812264.4402,82291589.1387,0.0013960809120150408,0.011544350107396628,0.34067174009489715,0.025029284679279395,2.57806854046e-05,1.0,0
2026-04-26 13:00:00+00:00,3279906925.4159,184403123.2152,-0.0024044374764948806,0.012489631465295359,0.08263948431699744,0.05622205977439962,2.57806854046e-05,1.0,0
2026-04-26 14:00:00+00:00,3279461661.7292,115502532.5767,-0.00013575497623119492,0.004253994124476357,0.13678912102759463,0.035219967327136746,2.57806854046e-05,1.0,0
2026-04-26 15:00:00+00:00,3301150677.5942,181573662.5465,0.006613590309076489,0.006893617007535768,1.259213522828546,0.05500314292797642,2.57806854046e-05,1.0,0
2026-04-26 16:00:00+00:00,3299842076.1174,97444887.3219,-0.0003964076785957227,0.006995691177776653,1.2914185325084584,0.029530166921367892,-2.13471161992e-05,-1.0,0
2026-04-26 17:00:00+00:00,3298788703.5829,78662807.0323,-0.0003192190747927093,0.0004369432860742428,1.24969247877098,0.023845967141472954,-2.13471161992e-05,-1.0,0
2026-04-26 18:00:00+00:00,3297578118.8959,134218803.6779,-0.0003669785475151066,0.0006236746904055845,1.1542127364145782,0.04070223625902738,-2.13471161992e-05,-1.0,0
2026-04-26 19:00:00+00:00,3364096037.8102,305531808.5748,0.020171749240188497,0.024630458530259247,3.2399139643136845,0.0908213692893502,-2.13471161992e-05,-1.0,0
2026-04-26 20:00:00+00:00,3424223145.3479,458391780.6606,0.01787318401790894,0.04148986314792702,3.5168970680623204,0.1338673798999824,-2.13471161992e-05,-1.0,0
2026-04-26 21:00:00+00:00,3413898663.3467,98344790.3086,-0.0030151311882891108,0.04085229885412356,2.5962418250946757,0.028807179124699326,-2.13471161992e-05,-1.0,0
2026-04-26 22:00:00+00:00,3312815296.1184,661630070.6442,-0.029609363720599302,0.010170460224747213,0.4360363878169143,0.19971836987695232,-2.13471161992e-05,-1.0,0
2026-04-26 23:00:00+00:00,3338180439.3562,636101178.0055,0.007656672941446674,0.011217228590421735,0.8928244418181011,0.19055326383979954,-2.13471161992e-05,-1.0,0
2026-04-27 00:00:00+00:00,3288664280.2805,703702637.6893,-0.014833278181106913,-0.003387372964845703,-0.17543657214090053,0.21397825308860016,-8.0304980673e-06,-1.0,0
2026-04-27 01:00:00+00:00,3279520828.1192,396672033.4456,-0.0027802935727205824,-0.0058408940963003975,-0.3983924853099305,0.12095426564895174,-8.0304980673e-06,-1.0,0
2026-04-27 02:00:00+00:00,3269257615.2675,746347575.3415,-0.0031294854918137993,-0.008588273759495446,-0.6471866653350585,0.22829267777982426,-8.0304980673e-06,-1.0,0
2026-04-27 03:00:00+00:00,3292556586.1571,193531137.3151,0.0071266855144096475,-0.021265579474855745,-0.1814913685656566,0.05877837851861475,-8.0304980673e-06,-1.0,0
2026-04-27 04:00:00+00:00,3298970913.0571,131359805.7511,0.001948129586281766,-0.036578291476408564,-0.08515136619160277,0.03981841889881082,-8.0304980673e-06,-1.0,0
2026-04-27 05:00:00+00:00,3294526149.4542,137720697.3056,-0.001347318215297988,-0.03496662486621016,-0.2540293447815379,0.04180288486355345,-8.0304980673e-06,-1.0,0
2026-04-27 06:00:00+00:00,3326669934.0801,1154316675.9447,0.009756724690506813,0.004182134143709604,0.4761286727933354,0.34698863993668033,-8.0304980673e-06,-1.0,0
2026-04-27 07:00:00+00:00,3329252392.676,344504339.4717,0.0007762893966256623,-0.0026745248923458753,0.4908815747482893,0.10347798810014308,-8.0304980673e-06,-1.0,0
2026-04-27 08:00:00+00:00,3336975410.5665,185447315.0159,0.002319745390133132,0.014690198259422083,0.6252023866417366,0.0555734736398365,5.60785122443e-05,1.0,0
2026-04-27 09:00:00+00:00,3345389103.807,208672591.8784,0.002521353083351441,0.020084725525459035,0.7778738185493826,0.062376179691903066,5.60785122443e-05,1.0,0
2026-04-27 10:00:00+00:00,3353136267.9844,234561093.0151,0.002315773722280534,0.025656788967986177,0.8983016124278876,0.06995274700127137,5.60785122443e-05,1.0,0
2026-04-27 11:00:00+00:00,3354391862.4016,98404299.5238,0.00037445374027544887,0.01878032301843313,0.8550676205930314,0.02933595821847325,5.60785122443e-05,1.0,0
2026-04-27 12:00:00+00:00,3351001470.7638,106055972.5453,-0.0010107321317469609,0.01577175400388242,0.7092266032716044,0.03164903789825149,5.60785122443e-05,1.0,0
2026-04-27 13:00:00+00:00,3375497089.4007,184363906.6364,0.007309939685379074,0.024577416075423963,1.2016681267898908,0.054618298210155694,5.60785122443e-05,1.0,0
2026-04-27 14:00:00+00:00,3401260806.9539,330404334.7074,0.007632569921064203,0.022422084051577418,1.645283482382198,0.09714172286696927,5.60785122443e-05,1.0,0
2026-04-27 15:00:00+00:00,3348259535.0392,520460222.6531,-0.015582830874462328,0.0057091322979938575,0.35842764585583464,0.15544201911665928,5.60785122443e-05,1.0,0
2026-04-27 16:00:00+00:00,3377943048.3508,1459160772.6317,0.008865356165185245,0.012276877334659542,0.9762440224219785,0.4319672510003093,4.61891024292e-05,1.0,0
2026-04-27 17:00:00+00:00,3406266540.7572,309733809.9625,0.008384834202645353,0.018197415924181115,1.4838784184238625,0.09093058521886763,4.61891024292e-05,1.0,0
2026-04-27 18:00:00+00:00,3343343304.8791,274471471.317,-0.018472786884173864,-0.0029205383624885117,0.013668190678019616,0.08209491107791733,4.61891024292e-05,1.0,0
2026-04-27 19:00:00+00:00,3355586932.0796,143290908.3371,0.0036620909323408224,0.00035627014583328176,0.30693858081121406,0.04270218928534703,4.61891024292e-05,1.0,0
2026-04-27 20:00:00+00:00,3326327264.6221,444072094.3596,-0.008719686913122637,-0.0073632334563183965,-0.3047538752844378,0.1335022260384985,4.61891024292e-05,1.0,0
2026-04-27 21:00:00+00:00,3315765589.4318,129666605.0664,-0.0031751762078948698,-0.017695615900976902,-0.5111645803959416,0.03910608321640134,4.61891024292e-05,1.0,0
2026-04-27 22:00:00+00:00,3313642809.8905,86368793.8589,-0.0006402079652632064,-0.02576044650391529,-0.5712115613213252,0.026064605877588257,4.61891024292e-05,1.0,0
2026-04-27 23:00:00+00:00,3297531026.1394,124745792.3887,-0.004862257242394974,-0.015150709904334203,-0.9507006566795498,0.03783005873177385,4.61891024292e-05,1.0,0
2026-04-28 00:00:00+00:00,3262108053.2188,290030651.3738,-0.010742271305350437,-0.03429157729244536,-1.7972183768401038,0.0889089651974035,-6.31997400311e-05,-1.0,0
2026-04-28 01:00:00+00:00,3268972642.9617,203389810.1192,0.0021043416192563225,-0.04030626968052242,-1.5804515082953845,0.062218266205779,-6.31997400311e-05,-1.0,0
2026-04-28 02:00:00+00:00,3278266037.1393,160148891.5927,0.0028429097434048423,-0.019464727910181945,-1.373514309207848,0.048851706901874896,-6.31997400311e-05,-1.0,0
2026-04-28 03:00:00+00:00,3292773338.3908,324473756.4911,0.00442529711961992,-0.018719107852131156,-0.9989893754903857,0.09854117582526117,-6.31997400311e-05,-1.0,0
2026-04-28 04:00:00+00:00,3300267090.3622,117223191.1119,0.002275817738205399,-0.0078345190315664,-0.8075996874135744,0.03551930431758931,-6.31997400311e-05,-1.0,0
2026-04-28 05:00:00+00:00,3298543528.5997,131898806.2953,-0.0005222491741753155,-0.005193992267424119,-0.8600820382398806,0.03998698369498061,-6.31997400311e-05,-1.0,0
2026-04-28 06:00:00+00:00,3292220214.4471,177442369.7126,-0.001917001882125846,-0.006464968215481148,-0.966362066070063,0.05389747895172313,-6.31997400311e-05,-1.0,0
2026-04-28 07:00:00+00:00,3297262489.1762,216991615.5417,0.0015315727383524713,-8.143576544739073e-05,-0.7926050116106051,0.06580962730568472,-6.31997400311e-05,-1.0,0
2026-04-28 08:00:00+00:00,3291734819.5917,296222847.7964,-0.0016764420796480106,0.00908209228191148,-0.869492325848225,0.08998988801690376,-6.9287230121e-05,-1.0,0
2026-04-28 09:00:00+00:00,3283446669.8849,159949513.8514,-0.0025178667666273524,0.004427699006402941,-0.9921306913392465,0.048713906432050244,-6.9287230121e-05,-1.0,0
2026-04-28 10:00:00+00:00,3295394164.6732,139718058.227,0.0036387052964435007,0.0052247521524662055,-0.6454069752051709,0.042397980710406354,-6.9287230121e-05,-1.0,0
2026-04-28 11:00:00+00:00,3298732790.3477,113542572.9907,0.001013118767487775,0.0018098579356855549,-0.5123191038387946,0.03442005770304667,-6.9287230121e-05,-1.0,0
2026-04-28 12:00:00+00:00,3295592349.3829,385073705.9345,-0.0009520143535084458,-0.0014164735311730237,-0.5363770659745736,0.11684506610977084,-6.9287230121e-05,-1.0,0
2026-04-28 13:00:00+00:00,3303623053.6521,245123964.0484,0.0024368014662685678,0.0015399296714924127,-0.27751447897408327,0.07419852691045353,-6.9287230121e-05,-1.0,0
2026-04-28 14:00:00+00:00,3299807587.5317,470040406.6712,-0.0011549338585048474,0.002304637171992585,-0.30319682744250126,0.142444792371302,-6.9287230121e-05,-1.0,0
2026-04-28 15:00:00+00:00,3300421946.5546,577536364.9346,0.0001861802564553372,0.0009582062055331075,-0.2331250977962984,0.1749886451753558,-6.9287230121e-05,-1.0,0
2026-04-28 16:00:00+00:00,3285041929.0269,252223996.9326,-0.004660015530364436,-0.002033241111940587,-0.6432138270000168,0.07677953657270797,5.20097210711e-05,1.0,0
2026-04-28 17:00:00+00:00,3290626334.7043,188826032.9064,0.0016999495890923644,0.0021866244654589195,-0.42797048404393706,0.05738300666805068,5.20097210711e-05,1.0,0
2026-04-28 18:00:00+00:00,3261018708.3706,187298755.1987,-0.00899756560671916,-0.01043136407507983,-1.763251831805829,0.05743565797949245,5.20097210711e-05,1.0,0
2026-04-28 19:00:00+00:00,3227200518.3749,179803138.7443,-0.010370437283568346,-0.02168477306864869,-3.111795131700325,0.05571489522282374,5.20097210711e-05,1.0,0
2026-04-28 20:00:00+00:00,3242589425.135,139387921.4194,0.00476850033720555,-0.016082973447193782,-2.1054717915232684,0.04298660827637677,5.20097210711e-05,1.0,0
